Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag
LOAN_0000049,CUST_02070,Home,2024-09-21,6885488.87,10.16,300,12,N
LOAN_0000050,CUST_00516,Auto,2024-06-29,403156.18,8.42,36,0,N
LOAN_0000051,CUST_03630,Home,2022-12-09,5636105.89,9.74,300,19,N
LOAN_0000052,CUST_04417,Education,2023-05-15,585322.81,10.2,84,4,N
LOAN_0000055,CUST_01728,Personal,2021-08-07,1064450.75,17.47,48,17,N
LOAN_0000058,CUST_04728,Auto,2025-05-20,2030367.53,10.11,60,6,N
LOAN_0000061,CUST_08424,Home,2023-10-01,9894144.41,7.83,180,3,N
LOAN_0000066,CUST_01790,Home,2023-09-11,5915395.58,7.88,240,5,N
LOAN_0000070,CUST_04619,Personal,2021-11-13,241404.11,15.42,24,10,N
LOAN_0000071,CUST_08203,Personal,2024-04-21,631703.96,15.33,24,17,N
LOAN_0000072,CUST_03234,Home,2021-10-07,3174747.29,8.25,120,0,N
LOAN_0000077,CUST_08590,Home,2026-03-27,3314518.9,10.02,240,120,Y
LOAN_0000078,CUST_07207,Auto,2022-05-09,1442728.93,10.04,48,3,N
LOAN_0000079,CUST_04581,Home,2025-11-28,8124921.33,9.41,240,4,N
LOAN_0000081,CUST_03328,Personal,2025-06-13,1135208.26,11.57,24,21,N
LOAN_0000082,CUST_02514,Education,2021-01-23,1729218.72,9.02,84,6,N
LOAN_0000083,CUST_04958,Home,2022-04-05,8586039.55,7.9,120,25,N
LOAN_0000086,CUST_08179,Personal,2021-08-14,808776.42,10.91,48,1,N
LOAN_0000088,CUST_02583,Personal,2023-10-18,262644.07,15.41,60,1,N
LOAN_0000090,CUST_06333,Personal,2022-07-19,268680.79,14.59,24,6,N
LOAN_0000092,CUST_05863,Auto,2023-02-13,2050449.77,9.74,48,3,N
LOAN_0000093,CUST_03663,Home,2024-01-29,5153678.8,8.13,240,3,N
LOAN_0000097,CUST_06495,Home,2022-01-09,9457579.88,10.43,300,17,N
LOAN_0000099,CUST_00304,Home,2022-12-24,8511598.74,7.79,120,2,N
LOAN_0000101,CUST_05599,Personal,2023-03-01,320237.37,11.98,60,5,N
LOAN_0000102,CUST_09636,Auto,2022-10-17,2414473.63,11.21,36,11,N
LOAN_0000103,CUST_02089,Education,2021-08-08,1637706.67,8.62,84,1,N
LOAN_0000105,CUST_00030,Home,2023-05-31,4718198.58,9.33,180,5,N
LOAN_0000106,CUST_01987,Auto,2021-11-01,2014960.69,8.54,48,10,N
LOAN_0000108,CUST_08474,Personal,2021-11-05,1087810.13,17.01,36,5,N
LOAN_0000109,CUST_04907,Home,2022-05-11,2889193.63,9.82,180,17,N
LOAN_0000110,CUST_07546,Home,2024-02-29,8142683.59,9.68,120,2,N
LOAN_0000112,CUST_02106,Personal,2022-12-15,532047.3,13.8,24,14,N
LOAN_0000114,CUST_06863,Personal,2024-02-15,1498693.41,16.49,36,8,N
LOAN_0000115,CUST_00217,Auto,2021-02-27,473261.7,9.38,48,2,N
LOAN_0000117,CUST_02434,Home,2021-12-18,3127603.12,8.87,240,1,N
LOAN_0000118,CUST_08039,Home,2023-11-11,5818204.38,7.07,300,0,N
LOAN_0000121,CUST_02298,Home,2021-04-12,8787485.44,9.72,240,8,N
LOAN_0000124,CUST_00040,Personal,2023-04-10,351165.33,13.58,24,2,N
LOAN_0000131,CUST_03131,Auto,2023-09-04,411740.28,9.21,60,12,N
LOAN_0000134,CUST_05827,Home,2022-04-09,8414659.63,7.69,240,3,N
LOAN_0000135,CUST_08311,Auto,2022-09-18,402693.7,10.8,36,120,Y
LOAN_0000136,CUST_10006,Home,2024-03-05,8783286.09,8.71,120,0,N
LOAN_0000138,CUST_08517,Auto,2022-06-06,1533918.53,8.72,72,6,N
LOAN_0000139,CUST_04448,Home,2022-01-23,6454693.45,8.81,120,8,N
LOAN_0000140,CUST_00290,Personal,2021-08-03,537798.41,17.78,36,10,N
LOAN_0000142,CUST_04496,Home,2026-03-18,7732271.97,7.31,120,8,N
LOAN_0000143,CUST_06795,Auto,2021-09-05,639155.93,11.69,60,0,N
LOAN_0000148,CUST_06454,Personal,2021-12-26,546320.7,14.29,48,0,N
LOAN_0000150,CUST_04518,Personal,2026-03-01,1281057.45,17.62,48,2,N
LOAN_0000153,CUST_08923,Education,2023-06-07,726470.22,10.99,84,5,N
LOAN_0000155,CUST_02970,Home,2022-11-25,7847921.97,9.02,120,1,N
LOAN_0000156,CUST_07831,Home,2024-01-21,3498470.47,9.59,120,8,N
LOAN_0000157,CUST_07304,Personal,2021-05-07,975486.3,12.81,48,5,N
LOAN_0000158,CUST_03483,Home,2023-04-06,6008305.3,8.51,300,1,N
LOAN_0000159,CUST_10059,Personal,2026-03-11,1275557.8,12.04,24,2,N
LOAN_0000167,CUST_09738,Education,2024-04-19,1938664.42,11.7,120,8,N
LOAN_0000168,CUST_09376,Home,2022-06-05,2255139.43,10.17,300,2,N
LOAN_0000169,CUST_01573,Home,2023-03-30,9818553.65,8.95,240,0,N
LOAN_0000171,CUST_01583,Personal,2023-06-17,394422.36,10.91,36,2,N
LOAN_0000172,CUST_00562,Education,2021-11-27,1480521.12,10.18,120,6,N
LOAN_0000173,CUST_01635,Home,2022-07-18,2587779.8,9.89,240,4,N
LOAN_0000175,CUST_10198,Education,2025-03-11,1423911.18,10.24,84,1,N
LOAN_0000178,CUST_09131,Home,2023-08-20,4762893.14,8.51,240,6,N
LOAN_0000179,CUST_09076,Auto,2022-02-12,1691642.62,11.73,36,8,N
LOAN_0000183,CUST_07428,Personal,2024-03-12,1002422.84,16.27,36,15,N
LOAN_0000184,CUST_05938,Auto,2023-09-24,2452751.89,9.3,60,8,N
LOAN_0000185,CUST_09813,Auto,2024-09-05,2229777.43,10.32,60,2,N
LOAN_0000187,CUST_01208,Home,2024-04-09,2546768.35,8.51,300,15,N
LOAN_0000188,CUST_05171,Home,2022-04-21,6586800.33,7.73,180,6,N
LOAN_0000191,CUST_04924,Home,2021-05-13,8903748.73,7.94,300,2,N
LOAN_0000192,CUST_02755,Home,2021-08-11,9480031.79,9.2,180,0,N
LOAN_0000194,CUST_09429,Personal,2021-01-27,1360747.99,13.49,24,21,N
LOAN_0000198,CUST_03462,Personal,2023-08-15,981549.03,16.12,48,7,N
LOAN_0000200,CUST_02349,Education,2022-02-07,414708.19,9.9,60,6,N
LOAN_0000201,CUST_05364,Home,2024-01-05,3133912.73,10.35,180,2,N
LOAN_0000202,CUST_09150,Personal,2022-08-26,605089.69,15.82,24,1,N
LOAN_0000203,CUST_00250,Personal,2022-06-14,936791.5,13.83,36,3,N
LOAN_0000205,CUST_09424,Personal,2021-10-14,743727.99,10.94,60,3,N
LOAN_0000208,CUST_08005,Home,2021-02-20,6527169.34,8.26,120,1,N
LOAN_0000210,CUST_08955,Auto,2021-11-04,2470129.55,10.8,48,0,N
LOAN_0000213,CUST_07071,Personal,2021-06-22,788501.52,13.01,60,1,N
LOAN_0000215,CUST_08197,Personal,2025-03-14,670787.89,13.45,60,4,N
LOAN_0000217,CUST_07001,Personal,2021-02-14,1035808.08,14.6,60,11,N
LOAN_0000219,CUST_01584,Home,2021-09-09,7539812.83,7.93,180,7,N
LOAN_0000220,CUST_02774,Personal,2024-04-19,1000764.87,16.13,60,12,N
LOAN_0000221,CUST_02874,Personal,2022-01-22,485073.59,10.58,36,1,N
LOAN_0000222,CUST_05450,Personal,2023-06-22,1224774.36,15.08,60,14,N
LOAN_0000223,CUST_05394,Auto,2023-03-21,1740897.29,9.85,48,7,N
LOAN_0000226,CUST_09566,Auto,2022-04-29,996867.6,11.09,60,10,N
LOAN_0000229,CUST_07379,Personal,2022-08-19,908434.2,13.72,36,0,N
LOAN_0000230,CUST_08841,Home,2021-06-12,7146805.98,9.69,120,3,N
LOAN_0000233,CUST_08139,Home,2023-02-20,4610116.43,8.12,300,20,N
LOAN_0000239,CUST_01879,Personal,2021-11-17,788704.16,14.73,48,19,N
LOAN_0000240,CUST_06028,Auto,2025-10-31,1339457.34,10.11,72,0,N
LOAN_0000241,CUST_05767,Home,2022-08-16,3177480.38,9.21,240,13,N
LOAN_0000242,CUST_00874,Auto,2025-09-05,1688129.34,11.36,72,1,N
LOAN_0000243,CUST_00415,Home,2021-01-16,2689804.72,9.13,240,2,N
LOAN_0000246,CUST_08510,Home,2021-08-31,4817235.01,7.67,240,3,N
LOAN_0000247,CUST_06600,Auto,2022-11-27,1445169.87,12.51,60,11,N
LOAN_0000248,CUST_00769,Auto,2023-10-21,1879200.58,11.3,36,16,N
LOAN_0000249,CUST_04678,Home,2021-06-08,3820858.38,9.43,240,0,N
LOAN_0000252,CUST_01306,Auto,2024-01-08,1083500.01,12.44,60,6,N
LOAN_0000253,CUST_04857,Home,2023-04-25,2999197.79,8.57,300,3,N
LOAN_0000255,CUST_01304,Home,2021-07-21,6985298.28,10.03,180,0,N
LOAN_0000258,CUST_09829,Personal,2025-09-27,285834.97,16.32,48,0,N
LOAN_0000260,CUST_09999,Personal,2021-09-25,308387.91,14.21,24,3,N
LOAN_0000261,CUST_07348,Auto,2023-09-12,1924104.36,12.58,60,13,N
LOAN_0000262,CUST_03182,Education,2026-04-03,1019678.6,9.57,120,0,N
LOAN_0000264,CUST_03448,Education,2023-10-30,1296650.31,12.08,84,3,N
LOAN_0000266,CUST_00466,Personal,2023-01-17,619926.01,12.06,24,16,N
LOAN_0000267,CUST_03017,Personal,2023-03-28,956471.1,13.29,36,5,N
LOAN_0000268,CUST_01826,Home,2021-03-13,7101520.07,8.75,300,10,N
LOAN_0000276,CUST_06756,Home,2021-08-28,6281084.02,9.05,300,5,N
LOAN_0000279,CUST_09226,Personal,2023-02-10,651539.84,15.43,24,2,N
LOAN_0000281,CUST_02196,Home,2022-06-16,8821313.7,10.04,300,0,N
LOAN_0000283,CUST_02592,Personal,2023-06-21,179196.57,17.12,24,2,N
LOAN_0000284,CUST_07378,Home,2025-09-06,5720069.04,10.26,300,120,Y
LOAN_0000286,CUST_02030,Auto,2022-05-01,995830.77,11.66,36,0,N
LOAN_0000287,CUST_02303,Auto,2023-10-05,1263846.56,9.76,72,3,N
LOAN_0000288,CUST_01179,Personal,2022-08-18,614977.99,11.09,24,16,N
LOAN_0000290,CUST_09264,Home,2021-12-13,4152304.35,8.12,240,9,N
LOAN_0000291,CUST_00394,Auto,2022-04-14,1639535.28,9.93,72,11,N
LOAN_0000293,CUST_09101,Personal,2021-01-04,821690.2,17.19,48,3,N
LOAN_0000294,CUST_04401,Personal,2021-09-15,611051.76,12.26,36,3,N
LOAN_0000296,CUST_09959,Home,2022-03-25,2853253.31,7.27,120,5,N
LOAN_0000297,CUST_00019,Personal,2022-10-08,180383.58,17.14,48,1,N
LOAN_0000303,CUST_01498,Home,2024-10-27,5209081.05,7.78,240,6,N
LOAN_0000304,CUST_00136,Home,2024-04-05,5266756.57,9.71,300,1,N
LOAN_0000307,CUST_03687,Personal,2022-05-11,1261519.71,12.36,60,3,N
LOAN_0000312,CUST_06349,Education,2024-09-18,1052600.47,10.68,120,9,N
LOAN_0000320,CUST_05837,Education,2024-12-12,1432459.94,12.41,84,12,N
LOAN_0000322,CUST_04665,Education,2021-08-06,1129542.87,8.82,84,150,Y
LOAN_0000323,CUST_08812,Auto,2021-08-10,2414737.97,12.82,72,2,N
LOAN_0000324,CUST_02133,Home,2022-05-19,9916559.71,8.85,180,4,N
LOAN_0000325,CUST_05066,Personal,2021-11-25,253411.8,13.5,36,2,N
LOAN_0000328,CUST_07723,Personal,2022-06-15,1472564.66,13.01,60,4,N
LOAN_0000329,CUST_06200,Auto,2022-10-15,1564145.48,12.35,72,20,N
LOAN_0000330,CUST_09711,Auto,2022-02-19,620507.94,12.54,72,0,N
LOAN_0000331,CUST_04150,Personal,2021-12-27,745129.01,12.36,24,3,N
LOAN_0000335,CUST_06192,Auto,2022-05-27,451747.79,8.85,72,1,N
LOAN_0000337,CUST_03418,Personal,2022-02-12,1038971.7,17.47,48,4,N
LOAN_0000340,CUST_02609,Personal,2022-05-22,671519.37,12.93,60,3,N
LOAN_0000341,CUST_04524,Personal,2023-10-16,1451799.96,15.15,48,9,N
LOAN_0000342,CUST_08837,Education,2023-06-02,960369.09,12.0,60,1,N
LOAN_0000344,CUST_09259,Personal,2023-09-03,1399160.48,17.13,60,3,N
LOAN_0000350,CUST_02232,Home,2022-01-22,6501097.71,8.67,240,14,N
LOAN_0000351,CUST_05297,Home,2023-08-06,5778525.04,9.38,240,0,N
LOAN_0000353,CUST_09756,Auto,2022-02-01,949147.63,9.59,60,12,N
LOAN_0000354,CUST_04198,Home,2021-08-05,5158325.77,8.17,120,1,N
LOAN_0000355,CUST_05534,Personal,2023-11-29,756915.29,12.94,36,9,N
LOAN_0000357,CUST_02571,Auto,2021-03-04,1652459.94,10.18,72,6,N
LOAN_0000359,CUST_03906,Auto,2023-03-17,1193224.11,8.63,36,0,N
LOAN_0000361,CUST_06467,Personal,2023-02-21,1305802.22,16.04,36,10,N
LOAN_0000363,CUST_04906,Auto,2022-08-19,1494526.98,12.25,48,9,N
LOAN_0000364,CUST_09650,Education,2022-05-29,1885313.94,8.55,84,0,N
LOAN_0000366,CUST_05216,Auto,2025-01-03,1275045.64,10.71,48,2,N
LOAN_0000367,CUST_09410,Home,2024-08-17,6410764.81,10.43,180,0,N
LOAN_0000368,CUST_07853,Home,2025-08-22,3656490.63,7.85,120,38,N
LOAN_0000370,CUST_02841,Home,2023-09-09,2892479.46,10.14,240,4,N
LOAN_0000371,CUST_09697,Auto,2024-09-06,580559.67,12.08,36,19,N
LOAN_0000375,CUST_02195,Auto,2021-09-27,716932.58,10.75,60,1,N
LOAN_0000378,CUST_07883,Home,2022-03-29,9289545.33,7.28,240,7,N
LOAN_0000380,CUST_02824,Education,2022-02-28,1961829.85,9.51,60,2,N
LOAN_0000381,CUST_06236,Personal,2022-12-05,1226904.06,11.86,48,1,N
LOAN_0000383,CUST_04927,Personal,2021-12-06,223960.3,13.65,48,7,N
LOAN_0000384,CUST_03824,Personal,2023-10-26,1425393.11,16.2,24,20,N
LOAN_0000386,CUST_02998,Home,2021-08-31,6628461.4,10.06,240,1,N
LOAN_0000387,CUST_04789,Home,2021-08-02,7621542.1,7.8,180,1,N
LOAN_0000392,CUST_08625,Personal,2021-02-17,457016.81,15.74,48,9,N
LOAN_0000393,CUST_09998,Personal,2023-08-25,395814.74,14.96,60,2,N
LOAN_0000395,CUST_03363,Education,2021-12-02,1862360.6,9.92,84,3,N
LOAN_0000397,CUST_03962,Home,2023-11-23,2336078.45,8.43,180,9,N
LOAN_0000398,CUST_04824,Personal,2022-07-08,364224.87,14.8,60,24,N
LOAN_0000401,CUST_07328,Home,2025-02-16,4110146.55,9.95,120,0,N
LOAN_0000404,CUST_08329,Personal,2026-02-22,996380.99,16.69,60,5,N
LOAN_0000408,CUST_03851,Auto,2022-11-27,1712102.06,10.16,60,8,N
LOAN_0000410,CUST_08826,Home,2024-01-27,4859391.86,10.23,120,7,N
LOAN_0000411,CUST_06718,Home,2023-07-27,3549679.5,8.46,120,3,N
LOAN_0000413,CUST_04626,Home,2021-07-06,8761671.06,8.42,120,6,N
LOAN_0000414,CUST_00072,Personal,2021-12-28,1069313.73,15.87,48,0,N
LOAN_0000415,CUST_03210,Home,2021-01-09,4305016.75,7.83,300,28,N
LOAN_0000416,CUST_07354,Home,2023-06-12,9823231.76,7.02,300,0,N
LOAN_0000417,CUST_10069,Personal,2024-05-19,265806.39,12.18,60,6,N
LOAN_0000418,CUST_00201,Home,2023-07-01,4961682.51,9.23,180,12,N
LOAN_0000420,CUST_07807,Home,2024-10-03,7102161.12,8.78,120,1,N
LOAN_0000421,CUST_02582,Home,2021-10-28,6256829.81,10.0,300,6,N
LOAN_0000422,CUST_09301,Education,2021-09-24,453484.01,11.27,120,2,N
LOAN_0000423,CUST_03422,Personal,2023-04-24,147719.05,15.85,48,0,N
LOAN_0000425,CUST_08325,Auto,2022-09-17,683602.95,11.49,72,0,N
LOAN_0000426,CUST_00469,Personal,2021-02-22,762456.95,15.57,60,4,N
LOAN_0000427,CUST_00623,Home,2022-02-13,4731230.69,10.25,300,1,N
LOAN_0000429,CUST_04115,Home,2021-02-18,6859840.44,7.35,180,0,N
LOAN_0000435,CUST_06827,Home,2025-04-09,9942653.17,8.45,300,13,N
LOAN_0000437,CUST_05558,Home,2022-03-21,7354233.77,9.04,240,52,N
LOAN_0000438,CUST_05513,Personal,2023-01-12,872543.76,16.87,60,1,N
LOAN_0000440,CUST_08384,Personal,2023-05-19,242539.23,16.71,24,150,Y
LOAN_0000441,CUST_02054,Education,2025-07-28,1305743.53,8.67,84,17,N
LOAN_0000443,CUST_06417,Auto,2023-05-18,1267329.04,9.3,60,7,N
LOAN_0000445,CUST_05857,Personal,2021-08-24,434343.47,16.03,60,1,N
LOAN_0000446,CUST_02202,Home,2023-09-21,3049321.04,8.92,120,11,N
LOAN_0000449,CUST_04247,Personal,2022-06-16,505525.76,16.07,36,3,N
LOAN_0000450,CUST_04050,Personal,2023-04-27,327477.26,14.07,60,17,N
LOAN_0000451,CUST_07310,Home,2022-02-06,7293216.49,9.11,180,2,N
LOAN_0000455,CUST_06110,Education,2024-01-15,577632.07,11.02,84,0,N
LOAN_0000456,CUST_08758,Home,2023-06-13,7827869.43,9.0,180,19,N
LOAN_0000458,CUST_05330,Personal,2021-12-11,1018712.73,17.62,48,6,N
LOAN_0000460,CUST_06169,Home,2021-05-04,4488057.69,7.24,120,0,N
LOAN_0000462,CUST_07773,Home,2021-01-26,7785759.21,10.17,180,19,N
LOAN_0000463,CUST_05241,Auto,2021-08-22,1137702.6,8.74,60,7,N
LOAN_0000465,CUST_10034,Home,2024-04-24,6004466.33,10.01,300,2,N
LOAN_0000466,CUST_02145,Auto,2024-01-31,1208775.44,8.62,72,2,N
LOAN_0000470,CUST_08726,Home,2025-01-11,7775442.25,8.52,240,0,N
LOAN_0000471,CUST_00255,Auto,2023-09-23,2286200.54,11.1,60,1,N
LOAN_0000472,CUST_01596,Home,2024-08-20,8050218.52,10.09,120,5,N
LOAN_0000473,CUST_09437,Personal,2021-10-20,905444.11,15.66,24,4,N
LOAN_0000474,CUST_00903,Home,2025-01-25,6121916.13,9.91,240,2,N
LOAN_0000475,CUST_06260,Home,2024-08-07,5126598.6,8.09,300,5,N
LOAN_0000478,CUST_01700,Home,2023-10-04,8341586.7,7.7,180,75,N
LOAN_0000480,CUST_01712,Home,2021-01-23,6132592.04,8.99,240,1,N
LOAN_0000484,CUST_00908,Personal,2022-02-25,1215167.41,16.95,48,5,N
LOAN_0000485,CUST_07639,Home,2021-02-21,6836344.65,9.07,180,7,N
LOAN_0000486,CUST_10011,Personal,2021-10-29,675732.8,12.16,60,11,N
LOAN_0000487,CUST_05738,Auto,2022-08-16,1147798.52,9.28,60,0,N
LOAN_0000488,CUST_06586,Home,2022-12-27,7409611.62,10.19,240,11,N
LOAN_0000489,CUST_00483,Home,2023-04-19,5014914.31,8.22,240,6,N
LOAN_0000490,CUST_08638,Personal,2024-07-16,142918.85,14.96,24,26,N
LOAN_0000495,CUST_05893,Personal,2022-07-05,883606.42,16.5,36,1,N
LOAN_0000497,CUST_05212,Personal,2023-03-24,889056.32,13.65,48,22,N
LOAN_0000500,CUST_05849,Auto,2021-12-04,1952879.54,12.17,60,14,N
LOAN_0000501,CUST_05449,Education,2021-03-05,465990.31,10.59,120,7,N
LOAN_0000502,CUST_07918,Education,2021-11-28,200519.95,10.52,84,8,N
LOAN_0000506,CUST_06982,Education,2023-12-21,1468064.2,11.05,120,3,N
LOAN_0000509,CUST_00782,Auto,2022-04-11,1533119.19,9.02,36,4,N
LOAN_0000512,CUST_09451,Personal,2022-09-05,1356037.6,12.36,48,1,N
LOAN_0000518,CUST_01955,Home,2023-06-10,5176734.43,8.2,240,0,N
LOAN_0000519,CUST_07837,Personal,2023-02-22,1287862.68,14.94,24,6,N
LOAN_0000522,CUST_05229,Education,2021-04-19,1887296.68,10.87,84,4,N
LOAN_0000523,CUST_01913,Personal,2023-09-24,1395465.97,12.28,48,0,N
LOAN_0000525,CUST_01809,Auto,2023-07-07,2131735.52,8.89,60,1,N
LOAN_0000530,CUST_02064,Education,2023-02-03,552241.82,9.63,84,24,N
LOAN_0000536,CUST_00749,Auto,2024-03-02,2029439.99,10.41,60,3,N
LOAN_0000539,CUST_08381,Personal,2024-10-26,1459284.57,12.58,24,1,N
LOAN_0000541,CUST_06046,Personal,2022-02-15,954516.56,14.37,60,1,N
LOAN_0000542,CUST_08228,Auto,2024-04-28,617187.32,9.01,48,34,N
LOAN_0000544,CUST_03106,Home,2023-04-22,2202149.62,7.53,180,11,N
LOAN_0000547,CUST_05225,Auto,2023-11-15,448519.67,12.58,36,9,N
LOAN_0000548,CUST_08004,Personal,2022-05-22,1282742.34,13.13,48,3,N
LOAN_0000549,CUST_06549,Home,2022-04-15,8876671.8,7.68,180,0,N
LOAN_0000550,CUST_07155,Home,2023-01-21,7293811.01,8.39,240,3,N
LOAN_0000552,CUST_05653,Personal,2023-08-25,797171.93,16.99,60,8,N
LOAN_0000558,CUST_09889,Auto,2022-03-20,2182361.52,10.14,48,24,N
LOAN_0000559,CUST_05400,Auto,2021-06-17,781912.65,12.07,36,14,N
LOAN_0000561,CUST_05042,Education,2023-10-16,414145.07,8.95,60,7,N
LOAN_0000568,CUST_07431,Personal,2024-06-29,1136899.84,10.82,48,3,N
LOAN_0000569,CUST_06359,Personal,2024-05-01,388825.99,17.38,48,9,N
LOAN_0000573,CUST_08542,Personal,2024-09-19,121865.44,11.84,48,16,N
LOAN_0000574,CUST_08170,Auto,2021-04-25,904436.96,10.92,60,1,N
LOAN_0000575,CUST_09184,Personal,2024-06-18,881173.19,16.68,36,0,N
LOAN_0000576,CUST_02092,Home,2022-11-12,7497242.9,8.2,180,5,N
LOAN_0000577,CUST_04748,Auto,2021-04-24,1665257.56,10.75,72,4,N
LOAN_0000579,CUST_00712,Education,2023-10-13,1375962.18,8.48,60,4,N
LOAN_0000580,CUST_02995,Home,2022-06-13,8521445.11,10.15,300,5,N
LOAN_0000583,CUST_03454,Education,2022-07-22,1459731.69,12.01,84,47,N
LOAN_0000585,CUST_00249,Personal,2022-07-18,856690.43,14.42,36,30,N
LOAN_0000588,CUST_10132,Personal,2022-02-28,103037.09,17.93,36,8,N
LOAN_0000589,CUST_07247,Home,2024-07-22,9133886.3,8.08,240,1,N
LOAN_0000591,CUST_04070,Home,2021-12-09,9800781.47,9.8,120,14,N
LOAN_0000592,CUST_08045,Personal,2022-06-13,1190353.64,12.72,48,2,N
LOAN_0000593,CUST_06610,Home,2023-03-02,6402023.36,9.46,120,3,N
LOAN_0000595,CUST_01046,Home,2021-04-15,5689513.78,9.01,300,7,N
LOAN_0000596,CUST_03299,Personal,2021-01-10,1207674.55,12.58,48,3,N
LOAN_0000597,CUST_02784,Personal,2021-05-16,497378.24,13.69,36,9,N
LOAN_0000598,CUST_08968,Personal,2024-05-11,1276673.32,16.7,48,8,N
LOAN_0000599,CUST_00098,Personal,2024-05-28,1090601.84,12.62,48,11,N
LOAN_0000604,CUST_06863,Home,2022-07-22,5494041.96,7.34,240,8,N
LOAN_0000606,CUST_01017,Personal,2024-03-18,550835.76,13.3,36,11,N
LOAN_0000609,CUST_03752,Home,2022-07-23,4948357.01,9.78,240,4,N
LOAN_0000610,CUST_04457,Auto,2022-06-01,847331.55,12.71,72,0,N
LOAN_0000611,CUST_06025,Personal,2021-05-29,294047.06,13.6,48,13,N
LOAN_0000612,CUST_01823,Home,2025-04-01,3941192.95,8.68,240,5,N
LOAN_0000613,CUST_04231,Personal,2021-02-24,1006225.72,10.97,60,9,N
LOAN_0000615,CUST_09951,Home,2021-06-17,8125086.98,10.33,240,6,N
LOAN_0000616,CUST_06969,Home,2022-10-08,6930642.37,9.92,120,16,N
LOAN_0000621,CUST_02235,Home,2022-07-04,4491138.28,7.31,240,15,N
LOAN_0000623,CUST_02162,Auto,2021-10-25,490920.11,9.22,36,0,N
LOAN_0000626,CUST_09363,Auto,2021-12-02,1805193.9,10.41,48,1,N
LOAN_0000627,CUST_00785,Personal,2021-09-04,574657.69,13.89,24,17,N
LOAN_0000631,CUST_01379,Home,2024-11-29,7120679.64,8.16,180,1,N
LOAN_0000634,CUST_00452,Home,2022-01-11,9398948.99,10.23,240,0,N
LOAN_0000635,CUST_09502,Auto,2022-12-05,589199.73,11.56,48,2,N
LOAN_0000636,CUST_09528,Personal,2024-07-06,533921.41,15.5,60,150,Y
LOAN_0000642,CUST_07272,Home,2021-02-13,3733405.93,9.82,240,7,N
LOAN_0000643,CUST_03476,Home,2022-07-17,5727815.28,10.08,180,5,N
LOAN_0000645,CUST_07201,Personal,2024-01-16,1170072.27,10.54,48,3,N
LOAN_0000648,CUST_01793,Personal,2024-06-28,388348.67,10.82,60,8,N
LOAN_0000649,CUST_02310,Auto,2021-11-17,2276436.86,10.63,72,10,N
LOAN_0000651,CUST_01154,Personal,2022-07-14,815720.94,15.21,60,6,N
LOAN_0000652,CUST_09824,Personal,2023-03-29,201403.65,15.16,24,4,N
LOAN_0000654,CUST_02104,Home,2023-09-05,2866900.02,7.71,300,2,N
LOAN_0000656,CUST_03898,Home,2021-10-17,7323652.09,7.46,240,0,N
LOAN_0000658,CUST_04719,Education,2022-10-19,1332294.12,11.49,60,3,N
