Complaint_ID,Customer_ID,Complaint_Date,Category,Channel,Resolution_TAT_Days,CSAT_Score
CMP_0000055,CUST_03340,2022-09-01,Service,Digital,4,1
CMP_0000056,CUST_02070,2024-04-20,KYC,Phone,4,4
CMP_0000057,CUST_07138,2023-06-11,Service,Branch,4,4
CMP_0000058,CUST_00164,2023-04-07,Fees,Phone,4,4
CMP_0000059,CUST_02378,2025-07-11,Fees,Branch,7,5
CMP_0000060,CUST_09842,2022-01-26,Service,Branch,4,4
CMP_0000061,CUST_05075,2025-08-27,Service,Phone,3,4
CMP_0000062,CUST_00944,2023-10-26,Fees,Phone,5,3
CMP_0000063,CUST_01744,2023-04-01,KYC,Digital,5,5
CMP_0000064,CUST_07186,2025-08-25,Service,Phone,3,4
CMP_0000065,CUST_07674,2022-08-18,KYC,Digital,2,5
CMP_0000066,CUST_06200,2026-06-30,KYC,Digital,9,4
CMP_0000067,CUST_03232,2022-07-09,Service,Phone,5,4
CMP_0000068,CUST_08283,2025-03-25,Fees,Branch,3,4
CMP_0000069,CUST_01016,2023-08-09,Fees,Phone,1,1
CMP_0000070,CUST_03163,2022-07-01,Fees,Branch,1,4
CMP_0000071,CUST_09454,2026-06-28,KYC,Phone,69,4
CMP_0000072,CUST_07204,2024-04-21,Fraud,Digital,10,3
CMP_0000073,CUST_08564,2025-07-01,Service,Branch,1,5
CMP_0000074,CUST_05344,2026-05-13,Fees,Branch,11,5
CMP_0000075,CUST_08008,2023-06-19,Fraud,Branch,3,2
CMP_0000076,CUST_06112,2024-06-22,Fees,Digital,8,5
CMP_0000077,CUST_09501,2023-01-31,KYC,Phone,3,5
CMP_0000078,CUST_09128,2024-11-11,KYC,Phone,2,5
CMP_0000079,CUST_05887,2024-12-19,Service,Branch,4,1
CMP_0000080,CUST_04554,2025-02-17,Service,Digital,3,5
CMP_0000081,CUST_03421,2026-02-28,Service,Phone,9,4
CMP_0000082,CUST_04708,2022-05-13,Service,Phone,5,1
CMP_0000083,CUST_08989,2023-09-20,Service,Digital,11,5
CMP_0000084,CUST_00485,2026-01-22,Fees,Digital,4,5
CMP_0000085,CUST_01191,2023-03-08,KYC,Phone,7,5
CMP_0000086,CUST_07546,2022-06-24,Service,Phone,14,5
CMP_0000087,CUST_06203,2025-02-14,Service,Phone,4,2
CMP_0000088,CUST_00136,2022-03-26,Fees,Digital,2,3
CMP_0000089,CUST_00484,2024-12-10,Fees,Branch,3,5
CMP_0000090,CUST_09450,2025-03-28,Service,Phone,3,5
CMP_0000091,CUST_05915,2024-07-24,Service,Phone,6,5
CMP_0000092,CUST_01008,2024-06-14,Service,Digital,14,1
CMP_0000093,CUST_02444,2022-05-03,Service,Digital,3,5
CMP_0000094,CUST_05706,2026-01-21,KYC,Branch,2,5
CMP_0000095,CUST_04722,2025-03-10,Fees,Branch,12,3
CMP_0000096,CUST_05949,2025-05-23,Service,Digital,11,5
CMP_0000097,CUST_08302,2022-07-16,KYC,Phone,8,4
CMP_0000098,CUST_07711,2022-01-13,Fraud,Digital,7,5
CMP_0000099,CUST_01851,2024-06-21,Service,Digital,3,5
CMP_0000100,CUST_03578,2025-07-31,Fees,Digital,4,3
CMP_0000101,CUST_08514,2022-08-13,Fraud,Phone,6,2
CMP_0000102,CUST_01446,2025-12-31,KYC,Branch,10,3
CMP_0000103,CUST_01640,2022-05-03,Fees,Digital,5,5
CMP_0000104,CUST_02677,2025-09-09,Fees,Branch,2,3
CMP_0000105,CUST_08815,2024-05-17,Fees,Phone,5,2
CMP_0000106,CUST_08944,2023-04-03,Service,Branch,16,5
CMP_0000107,CUST_01471,2024-12-27,Service,Digital,4,4
CMP_0000108,CUST_10146,2024-04-29,Service,Branch,15,3
CMP_0000109,CUST_01820,2024-03-22,Fees,Branch,72,5
CMP_0000110,CUST_01710,2025-01-21,Service,Phone,7,2
CMP_0000111,CUST_09444,2025-07-15,Fraud,Phone,7,5
CMP_0000112,CUST_05322,2024-12-23,KYC,Phone,2,2
CMP_0000113,CUST_08469,2022-07-07,Fees,Phone,1,4
CMP_0000114,CUST_00314,2025-12-25,KYC,Digital,19,2
CMP_0000115,CUST_01023,2022-08-05,KYC,Branch,6,4
CMP_0000116,CUST_07182,2022-05-24,Fees,Phone,8,5
CMP_0000117,CUST_06011,2024-06-22,KYC,Branch,5,3
CMP_0000118,CUST_02008,2022-09-07,Service,Branch,3,5
CMP_0000119,CUST_09197,2023-12-27,Service,Digital,1,1
CMP_0000120,CUST_05160,2024-03-18,Service,Branch,2,5
CMP_0000121,CUST_09985,2023-12-27,Service,Branch,5,4
CMP_0000122,CUST_02004,2025-09-30,Service,Phone,3,4
CMP_0000123,CUST_00847,2025-06-20,Service,Digital,7,1
CMP_0000124,CUST_08107,2022-07-05,KYC,Branch,2,4
CMP_0000125,CUST_01363,2022-09-03,Service,Phone,3,5
CMP_0000126,CUST_07166,2026-01-22,Fees,Phone,5,4
CMP_0000127,CUST_04365,2023-09-19,Fees,Branch,8,2
CMP_0000128,CUST_06131,2026-04-07,Service,Phone,7,5
CMP_0000129,CUST_02979,2022-12-06,Service,Branch,1,4
CMP_0000130,CUST_07108,2022-05-06,Fees,Digital,12,4
CMP_0000131,CUST_02319,2024-12-23,Fees,Branch,2,4
CMP_0000132,CUST_06880,2022-05-26,Fraud,Phone,13,4
CMP_0000133,CUST_05927,2024-07-08,Service,Branch,2,5
CMP_0000134,CUST_09036,2022-06-17,KYC,Branch,8,5
CMP_0000135,CUST_02144,2024-11-20,Service,Branch,3,4
CMP_0000136,CUST_08938,2025-03-18,Fees,Phone,6,4
CMP_0000137,CUST_07388,2024-06-03,Fees,Phone,2,4
CMP_0000138,CUST_06877,2026-02-01,Service,Digital,3,4
CMP_0000139,CUST_02437,2022-08-14,Service,Phone,7,4
CMP_0000140,CUST_01177,2025-04-03,Fees,Digital,8,4
CMP_0000141,CUST_04648,2025-05-01,Service,Digital,5,4
CMP_0000142,CUST_07262,2024-06-02,Fees,Digital,5,2
CMP_0000143,CUST_03075,2023-11-26,KYC,Digital,12,4
CMP_0000144,CUST_05199,2025-11-12,KYC,Branch,7,1
CMP_0000145,CUST_09063,2024-10-11,Service,Phone,5,3
CMP_0000146,CUST_04843,2023-05-16,Fraud,Digital,4,4
CMP_0000147,CUST_09490,2023-08-06,Service,Digital,17,3
CMP_0000148,CUST_07976,2025-10-15,Fees,Phone,1,5
CMP_0000149,CUST_01777,2023-11-18,Service,Phone,3,5
CMP_0000150,CUST_06068,2023-12-15,Service,Phone,8,4
CMP_0000151,CUST_01753,2022-11-12,Fees,Phone,1,5
CMP_0000152,CUST_00348,2022-09-23,Fees,Branch,6,5
CMP_0000153,CUST_03767,2025-01-18,KYC,Phone,7,2
CMP_0000154,CUST_05149,2024-12-26,Service,Branch,4,3
CMP_0000155,CUST_02733,2025-07-30,Fees,Phone,5,4
CMP_0000156,CUST_07419,2025-11-21,Service,Digital,3,3
CMP_0000157,CUST_06349,2025-06-12,Service,Branch,14,5
CMP_0000158,CUST_04064,2024-01-27,Fees,Phone,17,3
CMP_0000159,CUST_10146,2026-03-30,Service,Digital,4,3
CMP_0000160,CUST_09763,2023-08-31,Service,Branch,2,5
CMP_0000161,CUST_07637,2025-08-05,KYC,Phone,1,5
CMP_0000162,CUST_08512,2024-09-23,Fees,Phone,2,5
CMP_0000163,CUST_03264,2022-03-04,Fees,Branch,2,3
CMP_0000164,CUST_09299,2022-01-02,Service,Digital,36,2
CMP_0000165,CUST_09040,2024-06-15,Fraud,Phone,6,5
CMP_0000166,CUST_06874,2025-09-20,Service,Digital,5,4
CMP_0000167,CUST_06771,2024-04-11,Service,Digital,5,4
CMP_0000168,CUST_04911,2024-03-23,Service,Digital,14,3
CMP_0000169,CUST_08488,2025-09-18,Fraud,Branch,2,4
CMP_0000170,CUST_01170,2025-07-26,Service,Digital,2,5
CMP_0000171,CUST_00066,2024-04-22,Service,Branch,6,4
CMP_0000172,CUST_05429,2025-03-27,Fees,Digital,2,3
CMP_0000173,CUST_06938,2022-01-10,Service,Phone,14,4
CMP_0000174,CUST_05040,2023-12-18,Fees,Digital,7,3
CMP_0000175,CUST_03699,2025-01-28,Fees,Phone,13,4
CMP_0000176,CUST_03525,2023-09-12,Service,Phone,9,3
CMP_0000177,CUST_09577,2025-03-28,Service,Branch,5,5
CMP_0000178,CUST_04286,2024-06-12,Fees,Phone,24,3
CMP_0000179,CUST_05183,2022-12-06,Service,Digital,2,5
CMP_0000180,CUST_05700,2025-04-19,KYC,Phone,9,5
CMP_0000181,CUST_04004,2022-11-28,Fees,Phone,9,2
CMP_0000182,CUST_06623,2025-12-14,KYC,Phone,4,5
CMP_0000183,CUST_05196,2024-02-20,Fees,Phone,6,5
CMP_0000184,CUST_00290,2025-06-10,Fees,Branch,4,5
CMP_0000185,CUST_05223,2026-01-31,KYC,Phone,7,5
CMP_0000186,CUST_00254,2022-10-17,Fees,Branch,7,4
CMP_0000187,CUST_10155,2026-06-17,Fees,Digital,9,4
CMP_0000188,CUST_02800,2022-11-06,Fraud,Branch,24,1
CMP_0000189,CUST_02603,2026-01-12,Service,Branch,8,3
CMP_0000190,CUST_06071,2023-01-15,Service,Digital,2,5
CMP_0000191,CUST_09178,2023-01-06,Fraud,Branch,3,5
CMP_0000192,CUST_05236,2024-07-24,Fees,Phone,3,4
CMP_0000193,CUST_09944,2022-03-07,Service,Branch,10,3
CMP_0000194,CUST_02287,2023-03-06,Fees,Branch,1,5
CMP_0000195,CUST_09209,2025-12-23,Service,Branch,13,5
CMP_0000196,CUST_07885,2025-07-29,Fees,Digital,4,3
CMP_0000197,CUST_07315,2022-04-20,Service,Digital,17,5
CMP_0000198,CUST_09630,2026-05-21,Fees,Digital,8,5
CMP_0000199,CUST_08438,2025-04-17,Fees,Branch,2,4
CMP_0000200,CUST_02545,2023-08-25,KYC,Branch,2,5
CMP_0000201,CUST_01636,2022-11-18,Fees,Branch,11,5
CMP_0000202,CUST_03120,2025-04-16,Fees,Digital,7,5
CMP_0000203,CUST_07324,2026-04-19,KYC,Phone,3,5
CMP_0000204,CUST_07441,2024-01-14,Service,Digital,4,5
CMP_0000205,CUST_00318,2024-06-10,Service,Digital,15,2
CMP_0000206,CUST_03283,2025-10-22,Fees,Branch,13,4
CMP_0000207,CUST_06068,2024-07-26,KYC,Phone,7,3
CMP_0000208,CUST_00375,2025-12-07,Service,Phone,15,2
CMP_0000209,CUST_02769,2026-01-04,Fees,Phone,9,5
CMP_0000210,CUST_07925,2022-01-13,Fees,Phone,5,5
CMP_0000211,CUST_06639,2026-02-19,Service,Phone,12,3
CMP_0000212,CUST_09409,2022-11-30,Service,Branch,13,5
CMP_0000213,CUST_00063,2025-10-11,Fees,Phone,6,4
CMP_0000214,CUST_02296,2024-08-27,Service,Digital,4,4
CMP_0000215,CUST_04617,2022-02-15,Fees,Branch,8,5
CMP_0000216,CUST_09274,2024-04-20,KYC,Digital,7,4
CMP_0000217,CUST_09054,2026-06-18,Service,Phone,9,2
CMP_0000218,CUST_07992,2024-02-04,Fees,Phone,5,2
CMP_0000219,CUST_04626,2022-07-27,Service,Branch,2,1
CMP_0000220,CUST_09378,2023-02-24,KYC,Phone,1,3
CMP_0000221,CUST_07718,2026-01-18,KYC,Branch,2,5
CMP_0000222,CUST_07247,2022-12-04,Service,Phone,5,3
CMP_0000223,CUST_04957,2025-06-03,Fees,Phone,3,5
CMP_0000224,CUST_00672,2022-03-30,Service,Phone,33,5
CMP_0000225,CUST_04191,2023-03-08,Service,Phone,15,3
CMP_0000226,CUST_06826,2024-03-18,Fees,Branch,6,4
CMP_0000227,CUST_01096,2026-03-01,Fees,Digital,4,4
CMP_0000228,CUST_09712,2024-04-24,Fees,Phone,40,2
CMP_0000229,CUST_00180,2025-04-14,KYC,Branch,7,5
CMP_0000230,CUST_07264,2023-10-06,Service,Phone,5,5
CMP_0000231,CUST_05231,2022-05-22,Service,Digital,3,5
CMP_0000232,CUST_02073,2022-04-20,Fees,Digital,10,2
CMP_0000233,CUST_04240,2024-10-16,Service,Branch,6,4
CMP_0000234,CUST_06827,2025-08-13,Fraud,Branch,6,2
CMP_0000235,CUST_07199,2026-05-03,Fees,Digital,4,5
CMP_0000236,CUST_00689,2024-07-21,Service,Digital,2,4
CMP_0000237,CUST_07472,2022-02-10,Service,Digital,8,3
CMP_0000238,CUST_03778,2022-01-02,KYC,Digital,10,5
CMP_0000239,CUST_02032,2025-07-15,Fraud,Branch,16,5
CMP_0000240,CUST_07257,2023-01-12,Service,Branch,11,4
CMP_0000241,CUST_04389,2022-03-09,Service,Branch,7,5
CMP_0000242,CUST_01568,2024-07-24,Service,Phone,3,5
CMP_0000243,CUST_06549,2022-05-18,Fraud,Digital,2,3
CMP_0000244,CUST_01457,2024-06-25,Fees,Digital,42,2
CMP_0000245,CUST_01604,2024-12-28,Fraud,Digital,4,4
CMP_0000246,CUST_00768,2024-01-23,Service,Digital,4,5
CMP_0000247,CUST_03540,2022-11-06,KYC,Digital,4,4
CMP_0000248,CUST_02646,2022-08-25,Fees,Branch,13,4
CMP_0000249,CUST_03062,2023-07-24,Service,Digital,8,5
CMP_0000250,CUST_02439,2023-12-25,KYC,Digital,1,5
CMP_0000251,CUST_06981,2026-04-07,Service,Digital,9,5
CMP_0000252,CUST_02195,2024-11-20,Fees,Branch,26,5
CMP_0000253,CUST_04707,2024-08-01,Fraud,Digital,5,5
CMP_0000254,CUST_03940,2026-01-08,Fraud,Phone,22,5
CMP_0000255,CUST_05149,2025-10-22,Service,Branch,4,5
CMP_0000256,CUST_01727,2026-05-26,Service,Branch,3,4
CMP_0000257,CUST_03825,2023-03-19,KYC,Phone,4,4
CMP_0000258,CUST_09102,2024-04-08,Fees,Phone,3,1
CMP_0000259,CUST_04982,2024-06-15,Service,Digital,29,5
CMP_0000260,CUST_05268,2022-04-13,Fees,Phone,1,2
CMP_0000261,CUST_07916,2023-01-02,Fees,Branch,6,4
CMP_0000262,CUST_09253,2022-07-14,Service,Phone,9,4
CMP_0000263,CUST_04709,2025-04-12,Service,Phone,8,3
CMP_0000264,CUST_00499,2023-06-02,Fees,Branch,4,1
CMP_0000265,CUST_06159,2024-01-02,Service,Branch,5,4
CMP_0000266,CUST_04319,2025-12-14,Fees,Branch,12,5
CMP_0000267,CUST_04732,2024-08-14,Service,Phone,5,4
CMP_0000268,CUST_03065,2022-07-27,KYC,Phone,8,5
CMP_0000269,CUST_05693,2022-03-04,Fees,Phone,13,4
CMP_0000270,CUST_09810,2026-03-13,Service,Branch,1,4
CMP_0000271,CUST_07737,2022-10-27,Service,Digital,6,4
CMP_0000272,CUST_07136,2023-01-15,Fees,Branch,23,5
CMP_0000273,CUST_09975,2025-09-12,Service,Branch,7,2
CMP_0000274,CUST_05583,2026-01-14,Service,Digital,13,3
CMP_0000275,CUST_02382,2022-05-03,KYC,Branch,3,1
CMP_0000276,CUST_04320,2025-07-11,KYC,Branch,5,3
CMP_0000277,CUST_01504,2026-04-09,Fees,Branch,6,5
CMP_0000278,CUST_02783,2023-05-14,Service,Phone,2,4
CMP_0000279,CUST_02260,2022-04-21,Fraud,Branch,3,3
CMP_0000280,CUST_08941,2023-03-28,Service,Branch,3,5
CMP_0000281,CUST_09976,2023-05-07,Service,Digital,7,4
CMP_0000282,CUST_06544,2023-04-24,Fees,Branch,10,2
CMP_0000283,CUST_04383,2025-02-28,Fees,Phone,9,1
CMP_0000284,CUST_02128,2026-07-05,Service,Branch,4,2
CMP_0000285,CUST_02841,2022-07-03,Fraud,Branch,4,4
CMP_0000286,CUST_00198,2022-03-17,Service,Digital,6,1
CMP_0000287,CUST_07262,2024-02-05,Fees,Phone,3,2
CMP_0000288,CUST_01969,2022-10-20,Service,Phone,6,1
CMP_0000289,CUST_05992,2022-11-05,Service,Branch,4,1
CMP_0000290,CUST_09766,2025-04-27,Fees,Digital,2,3
CMP_0000291,CUST_02225,2023-12-28,Fees,Digital,5,5
CMP_0000292,CUST_09785,2024-05-31,Service,Digital,2,3
CMP_0000293,CUST_02207,2022-06-26,Fraud,Digital,8,4
CMP_0000294,CUST_05756,2026-01-03,Fees,Branch,13,3
CMP_0000295,CUST_02032,2022-04-12,KYC,Digital,10,5
CMP_0000296,CUST_00598,2023-05-13,Fees,Digital,1,4
CMP_0000297,CUST_03239,2025-11-18,Fees,Digital,7,5
CMP_0000298,CUST_03641,2023-06-30,Service,Digital,1,4
CMP_0000299,CUST_05972,2022-07-05,KYC,Branch,7,3
CMP_0000300,CUST_00702,2023-07-28,Fees,Branch,9,4
CMP_0000301,CUST_02163,2024-02-06,KYC,Branch,6,4
CMP_0000302,CUST_01491,2024-05-28,Fees,Branch,50,4
CMP_0000303,CUST_01426,2025-02-11,Fees,Digital,2,5
CMP_0000304,CUST_06594,2025-12-05,Fees,Branch,6,3
CMP_0000305,CUST_01920,2026-05-22,Fraud,Branch,15,4
CMP_0000306,CUST_09514,2022-02-27,Service,Digital,4,2
CMP_0000307,CUST_00259,2024-09-27,KYC,Branch,9,5
CMP_0000308,CUST_03860,2025-05-27,Service,Branch,3,1
CMP_0000309,CUST_01266,2026-03-13,Fees,Branch,10,2
CMP_0000310,CUST_00707,2024-12-13,Service,Branch,1,3
CMP_0000311,CUST_08163,2024-11-26,Fees,Branch,1,4
CMP_0000312,CUST_06433,2024-09-24,KYC,Digital,2,4
CMP_0000313,CUST_03815,2025-11-06,Fees,Digital,12,1
CMP_0000314,CUST_02314,2022-03-30,Service,Phone,1,4
CMP_0000315,CUST_08284,2025-01-14,Service,Digital,1,5
CMP_0000316,CUST_01598,2025-07-26,Fees,Digital,2,5
CMP_0000317,CUST_09662,2022-07-04,Service,Digital,65,5
CMP_0000318,CUST_09585,2025-04-18,Fees,Digital,55,4
CMP_0000319,CUST_07788,2023-12-31,Fees,Digital,9,4
CMP_0000320,CUST_06607,2024-11-09,Fees,Phone,17,1
CMP_0000321,CUST_01740,2023-04-08,Fees,Branch,4,4
CMP_0000322,CUST_06902,2025-10-28,Service,Phone,23,2
CMP_0000323,CUST_07349,2024-07-02,Service,Phone,1,4
CMP_0000324,CUST_08258,2024-08-27,KYC,Digital,5,5
CMP_0000325,CUST_03442,2023-06-24,KYC,Branch,5,5
CMP_0000326,CUST_04084,2023-06-08,KYC,Branch,25,3
CMP_0000327,CUST_04162,2026-04-29,Service,Branch,4,1
CMP_0000328,CUST_03850,2023-03-21,Fees,Phone,17,5
CMP_0000329,CUST_09149,2024-07-18,Service,Phone,3,3
CMP_0000330,CUST_03870,2022-12-27,Fees,Branch,6,1
CMP_0000331,CUST_08887,2024-02-02,Service,Digital,6,3
CMP_0000332,CUST_00920,2025-10-20,Fraud,Phone,13,4
CMP_0000333,CUST_08217,2026-04-30,KYC,Branch,1,5
CMP_0000334,CUST_09430,2025-08-13,KYC,Phone,4,5
CMP_0000335,CUST_04294,2024-07-10,Fees,Digital,3,4
CMP_0000336,CUST_00789,2024-02-04,Fees,Digital,58,1
CMP_0000337,CUST_01569,2023-07-02,Fees,Digital,46,5
CMP_0000338,CUST_08086,2026-02-27,Service,Phone,4,4
CMP_0000339,CUST_03910,2024-12-11,KYC,Branch,1,4
CMP_0000340,CUST_06842,2025-12-29,Service,Branch,8,5
CMP_0000341,CUST_06588,2022-11-26,Service,Digital,6,1
CMP_0000342,CUST_09807,2026-07-15,KYC,Phone,20,2
CMP_0000343,CUST_09092,2022-04-29,KYC,Branch,2,5
CMP_0000344,CUST_04102,2022-05-20,Service,Digital,5,1
CMP_0000345,CUST_06851,2023-09-08,Service,Branch,17,4
CMP_0000346,CUST_06819,2024-01-01,KYC,Branch,5,4
CMP_0000347,CUST_02685,2025-09-30,Fraud,Phone,9,5
CMP_0000348,CUST_04200,2022-11-04,Service,Digital,6,3
CMP_0000349,CUST_08580,2023-12-07,Service,Digital,1,4
CMP_0000350,CUST_10012,2025-03-01,Service,Digital,3,4
CMP_0000351,CUST_10155,2023-10-25,Service,Phone,1,5
CMP_0000352,CUST_08648,2026-05-28,Service,Branch,4,4
CMP_0000353,CUST_01575,2022-04-25,Service,Digital,12,4
CMP_0000354,CUST_01867,2023-11-11,KYC,Digital,1,2
CMP_0000355,CUST_06071,2022-10-14,Service,Digital,3,3
CMP_0000356,CUST_03428,2022-01-17,Service,Phone,5,4
CMP_0000357,CUST_07558,2022-08-26,Fees,Digital,3,4
CMP_0000358,CUST_05189,2025-08-01,Service,Phone,13,5
CMP_0000359,CUST_02552,2022-09-20,Service,Phone,14,4
CMP_0000360,CUST_01865,2025-05-18,Service,Digital,2,4
CMP_0000361,CUST_03577,2023-10-01,Service,Branch,3,5
CMP_0000362,CUST_07257,2025-10-01,Fees,Phone,6,2
CMP_0000363,CUST_02594,2022-06-24,Service,Branch,21,4
CMP_0000364,CUST_00257,2026-05-27,Service,Branch,12,2
CMP_0000365,CUST_02381,2022-11-10,Fees,Phone,5,5
CMP_0000366,CUST_08295,2025-02-04,Fees,Phone,7,3
CMP_0000367,CUST_08659,2022-12-22,Fees,Branch,1,5
CMP_0000368,CUST_03309,2023-03-04,Fees,Phone,4,3
CMP_0000369,CUST_03376,2025-09-27,KYC,Branch,7,5
CMP_0000370,CUST_05244,2023-02-23,Fees,Phone,2,2
CMP_0000371,CUST_05967,2023-11-12,Fees,Branch,16,4
CMP_0000372,CUST_06335,2022-09-20,Fees,Digital,12,5
CMP_0000373,CUST_08062,2025-04-08,Service,Phone,7,5
CMP_0000374,CUST_08530,2022-06-15,Fees,Branch,7,2
CMP_0000375,CUST_00359,2023-07-09,Fees,Branch,1,2
CMP_0000376,CUST_08871,2025-12-13,Service,Branch,4,2
CMP_0000377,CUST_06224,2025-03-28,Fraud,Digital,19,4
CMP_0000378,CUST_08670,2025-01-29,KYC,Digital,7,4
CMP_0000379,CUST_05962,2024-12-23,Fees,Digital,12,5
CMP_0000380,CUST_07555,2026-01-29,Service,Branch,2,2
CMP_0000381,CUST_02523,2022-05-26,Fees,Branch,2,5
CMP_0000382,CUST_09578,2022-08-24,Fees,Phone,8,3
CMP_0000383,CUST_04188,2023-11-27,KYC,Branch,4,5
CMP_0000384,CUST_02094,2023-02-04,Fraud,Branch,4,4
CMP_0000385,CUST_05581,2023-03-29,Fraud,Branch,3,4
CMP_0000386,CUST_02720,2023-06-16,KYC,Phone,8,2
CMP_0000387,CUST_09712,2026-02-25,KYC,Digital,7,5
CMP_0000388,CUST_09392,2025-11-15,Fees,Phone,6,4
CMP_0000389,CUST_05911,2026-07-19,Fraud,Digital,1,5
CMP_0000390,CUST_07436,2025-09-20,KYC,Digital,1,4
CMP_0000391,CUST_01480,2022-01-10,Service,Digital,6,4
CMP_0000392,CUST_08742,2022-03-12,Fees,Digital,4,4
CMP_0000393,CUST_03628,2025-05-10,Service,Branch,8,4
CMP_0000394,CUST_09606,2022-03-05,Service,Phone,13,3
CMP_0000395,CUST_04863,2025-01-25,Service,Phone,6,4
CMP_0000396,CUST_02453,2026-03-21,Fees,Digital,5,2
CMP_0000397,CUST_00917,2025-08-15,Fees,Phone,15,1
CMP_0000398,CUST_00897,2024-12-13,KYC,Branch,5,2
CMP_0000399,CUST_03411,2022-10-16,Fees,Phone,3,4
CMP_0000400,CUST_09255,2024-10-05,Fraud,Phone,70,2
CMP_0000401,CUST_04093,2023-03-15,Fees,Branch,2,5
CMP_0000402,CUST_00790,2024-08-14,KYC,Digital,7,4
CMP_0000403,CUST_07510,2026-01-15,Fees,Phone,2,3
CMP_0000404,CUST_00567,2025-12-11,Fees,Digital,11,5
CMP_0000405,CUST_07265,2025-03-01,Fraud,Phone,10,5
CMP_0000406,CUST_04013,2024-05-19,Fees,Digital,5,5
CMP_0000407,CUST_01940,2024-04-06,Fees,Branch,2,5
CMP_0000408,CUST_05155,2022-06-11,Fraud,Phone,6,5
CMP_0000409,CUST_03392,2023-05-14,Fees,Branch,10,5
CMP_0000410,CUST_05416,2024-07-04,Service,Phone,5,4
CMP_0000411,CUST_07500,2024-03-25,Service,Digital,3,4
CMP_0000412,CUST_09589,2025-09-13,KYC,Phone,5,1
