Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag,NPA_Flag_raw
LOAN_0000044,CUST_01962,Home,2023-11-05,6246973.08,8.62,300,4,N,N
LOAN_0000045,CUST_01883,Auto,2023-09-03,1045142.91,9.36,48,3,N,N
LOAN_0000046,CUST_00415,Home,2022-01-05,2092650.19,8.67,120,9,N,N
LOAN_0000047,CUST_09593,Education,2024-08-09,1118647.91,11.77,60,12,N,N
LOAN_0000048,CUST_03388,Auto,2022-12-20,573442.85,12.31,36,9,N,N
LOAN_0000049,CUST_02070,Home,2024-09-21,6885488.87,10.16,300,12,N,N
LOAN_0000050,CUST_00516,Auto,2024-06-29,403156.18,8.42,36,0,N,N
LOAN_0000051,CUST_03630,Home,2022-12-09,5636105.89,9.74,300,19,N,N
LOAN_0000052,CUST_04417,Education,2023-05-15,585322.81,10.2,84,4,N,N
LOAN_0000053,CUST_09203,Personal,2025-07-24,1294946.19,14.78,24,5,N,N
LOAN_0000054,CUST_04729,Personal,2024-08-15,978999.35,14.05,24,0,N,N
LOAN_0000055,CUST_01728,Personal,2021-08-07,1064450.75,17.47,48,17,N,N
LOAN_0000056,CUST_02924,Personal,2024-11-04,462450.07,17.4,60,13,N,N
LOAN_0000057,CUST_04442,Personal,2025-02-24,519932.79,17.39,60,2,N,N
LOAN_0000058,CUST_04728,Auto,2025-05-20,2030367.53,10.11,60,6,N,N
LOAN_0000059,CUST_08972,Home,2023-08-19,4920479.15,8.71,120,5,N,N
LOAN_0000060,CUST_02809,Personal,2022-05-10,849992.41,15.35,36,4,N,N
LOAN_0000061,CUST_08424,Home,2023-10-01,9894144.41,7.83,180,3,N,N
LOAN_0000062,CUST_02422,Personal,2025-08-24,387667.37,15.86,24,0,N,N
LOAN_0000063,CUST_04372,Home,2025-03-09,5427552.43,7.44,300,5,N,N
LOAN_0000064,CUST_07199,Home,2024-01-16,9825362.93,9.19,180,0,N,N
LOAN_0000065,CUST_06329,Home,2022-08-22,3116866.79,8.29,240,6,N,N
LOAN_0000066,CUST_01790,Home,2023-09-11,5915395.58,7.88,240,5,N,N
LOAN_0000067,CUST_10148,Personal,2026-01-17,644234.88,14.21,48,5,N,N
LOAN_0000068,CUST_04210,Home,2026-04-20,3486372.45,9.11,300,1,N,N
LOAN_0000069,CUST_08498,Home,2022-12-06,5354522.75,8.3,120,1,N,N
LOAN_0000070,CUST_04619,Personal,2021-11-13,241404.11,15.42,24,10,N,N
LOAN_0000071,CUST_08203,Personal,2024-04-21,631703.96,15.33,24,17,N,N
LOAN_0000072,CUST_03234,Home,2021-10-07,3174747.29,8.25,120,0,N,N
LOAN_0000073,CUST_07144,Home,2021-05-04,9894533.36,9.92,120,3,N,N
LOAN_0000074,CUST_03674,Personal,2022-09-28,413957.15,13.5,24,9,N,N
LOAN_0000075,CUST_08254,Personal,2025-04-21,248543.82,13.46,36,120,Y,Y
LOAN_0000076,CUST_02436,Personal,2023-07-25,1041875.28,13.28,48,0,N,N
LOAN_0000077,CUST_08590,Home,2026-03-27,3314518.9,10.02,240,120,Y,Y
LOAN_0000078,CUST_07207,Auto,2022-05-09,1442728.93,10.04,48,3,N,N
LOAN_0000079,CUST_04581,Home,2025-11-28,8124921.33,9.41,240,4,N,N
LOAN_0000080,CUST_06939,Education,2025-10-24,665385.06,10.27,120,3,N,N
LOAN_0000081,CUST_03328,Personal,2025-06-13,1135208.26,11.57,24,21,N,N
LOAN_0000082,CUST_02514,Education,2021-01-23,1729218.72,9.02,84,6,N,N
LOAN_0000083,CUST_04958,Home,2022-04-05,8586039.55,7.9,120,25,N,N
LOAN_0000084,CUST_08776,Education,2024-02-06,555508.16,9.69,120,1,N,N
LOAN_0000085,CUST_06063,Home,2023-04-19,6537038.83,10.38,240,4,N,N
LOAN_0000086,CUST_08179,Personal,2021-08-14,808776.42,10.91,48,1,N,N
LOAN_0000087,CUST_09479,Personal,2025-01-21,1224791.28,15.3,36,1,N,N
LOAN_0000088,CUST_02583,Personal,2023-10-18,262644.07,15.41,60,1,N,N
LOAN_0000089,CUST_05690,Auto,2025-12-12,449999.3,10.54,60,11,N,N
LOAN_0000090,CUST_06333,Personal,2022-07-19,268680.79,14.59,24,6,N,N
LOAN_0000091,CUST_08859,Home,2024-09-30,2832197.98,8.0,120,3,N,N
LOAN_0000092,CUST_05863,Auto,2023-02-13,2050449.77,9.74,48,3,N,N
LOAN_0000093,CUST_03663,Home,2024-01-29,5153678.8,8.13,240,3,N,N
LOAN_0000094,CUST_09133,Personal,2024-04-12,631873.28,16.09,48,4,N,N
LOAN_0000095,CUST_09352,Auto,2025-12-22,1747232.86,11.75,72,7,N,N
LOAN_0000096,CUST_04205,Home,2022-09-12,2686117.85,7.2,120,8,N,N
LOAN_0000097,CUST_06495,Home,2022-01-09,9457579.88,10.43,300,17,N,N
LOAN_0000098,CUST_00401,Personal,2023-11-28,436877.26,12.63,48,6,N,N
LOAN_0000099,CUST_00304,Home,2022-12-24,8511598.74,7.79,120,2,N,N
LOAN_0000100,CUST_06256,Auto,2024-10-04,1136746.49,8.98,48,0,N,N
LOAN_0000101,CUST_05599,Personal,2023-03-01,320237.37,11.98,60,5,N,N
LOAN_0000102,CUST_09636,Auto,2022-10-17,2414473.63,11.21,36,11,N,N
LOAN_0000103,CUST_02089,Education,2021-08-08,1637706.67,8.62,84,1,N,N
LOAN_0000104,CUST_08060,Auto,2026-04-03,460660.98,9.52,36,0,N,N
LOAN_0000105,CUST_00030,Home,2023-05-31,4718198.58,9.33,180,5,N,N
LOAN_0000106,CUST_01987,Auto,2021-11-01,2014960.69,8.54,48,10,N,N
LOAN_0000107,CUST_02150,Personal,2025-04-17,942489.56,17.97,36,32,N,N
LOAN_0000108,CUST_08474,Personal,2021-11-05,1087810.13,17.01,36,5,N,N
LOAN_0000109,CUST_04907,Home,2022-05-11,2889193.63,9.82,180,17,N,N
LOAN_0000110,CUST_07546,Home,2024-02-29,8142683.59,9.68,120,2,N,N
LOAN_0000111,CUST_01192,Home,2024-10-08,9770783.23,7.27,180,12,N,N
LOAN_0000112,CUST_02106,Personal,2022-12-15,532047.3,13.8,24,14,N,N
LOAN_0000113,CUST_05004,Auto,2024-04-13,2329540.8,11.12,72,2,N,N
LOAN_0000114,CUST_06863,Personal,2024-02-15,1498693.41,16.49,36,8,N,N
LOAN_0000115,CUST_00217,Auto,2021-02-27,473261.7,9.38,48,2,N,N
LOAN_0000116,CUST_02193,Home,2025-11-21,5835288.6,9.99,300,4,N,N
LOAN_0000117,CUST_02434,Home,2021-12-18,3127603.12,8.87,240,1,N,N
LOAN_0000118,CUST_08039,Home,2023-11-11,5818204.38,7.07,300,0,N,N
LOAN_0000119,CUST_05051,Education,2025-04-18,1163299.14,11.6,60,1,N,N
LOAN_0000120,CUST_04443,Education,2025-06-10,1963604.15,10.72,60,1,N,N
LOAN_0000121,CUST_02298,Home,2021-04-12,8787485.44,9.72,240,8,N,N
LOAN_0000122,CUST_06556,Home,2025-09-02,4198453.18,9.84,240,19,N,N
LOAN_0000123,CUST_01923,Auto,2024-07-05,740558.4,12.22,72,9,N,N
LOAN_0000124,CUST_00040,Personal,2023-04-10,351165.33,13.58,24,2,N,N
LOAN_0000125,CUST_07261,Home,2024-01-04,3752206.29,8.92,180,120,Y,Y
LOAN_0000126,CUST_05597,Personal,2022-06-06,1182280.28,16.8,48,0,N,N
LOAN_0000127,CUST_03707,Home,2025-12-05,6080291.54,10.32,300,1,N,N
LOAN_0000128,CUST_07980,Auto,2022-08-27,1656636.61,10.13,72,5,N,N
LOAN_0000129,CUST_06064,Personal,2023-06-17,587865.39,13.07,36,1,N,N
LOAN_0000130,CUST_00953,Personal,2025-12-23,1008363.75,15.2,24,5,N,N
LOAN_0000131,CUST_03131,Auto,2023-09-04,411740.28,9.21,60,12,N,N
LOAN_0000132,CUST_02706,Home,2026-03-15,9549718.44,9.52,240,0,N,N
LOAN_0000133,CUST_07692,Home,2025-12-18,8666753.38,9.96,240,1,N,N
LOAN_0000134,CUST_05827,Home,2022-04-09,8414659.63,7.69,240,3,N,N
LOAN_0000135,CUST_08311,Auto,2022-09-18,402693.7,10.8,36,120,Y,Y
LOAN_0000136,CUST_10006,Home,2024-03-05,8783286.09,8.71,120,0,N,N
LOAN_0000137,CUST_07108,Education,2022-02-02,1626598.92,9.07,120,2,N,N
LOAN_0000138,CUST_08517,Auto,2022-06-06,1533918.53,8.72,72,6,N,N
LOAN_0000139,CUST_04448,Home,2022-01-23,6454693.45,8.81,120,8,N,N
LOAN_0000140,CUST_00290,Personal,2021-08-03,537798.41,17.78,36,10,N,N
LOAN_0000141,CUST_04815,Home,2024-12-16,5151020.4,9.53,300,5,N,N
LOAN_0000142,CUST_04496,Home,2026-03-18,7732271.97,7.31,120,8,N,N
LOAN_0000143,CUST_06795,Auto,2021-09-05,639155.93,11.69,60,0,N,N
LOAN_0000144,CUST_08700,Personal,2025-05-20,1490532.14,12.96,24,6,N,N
LOAN_0000145,CUST_09288,Personal,2023-05-07,676612.49,16.39,36,5,N,N
LOAN_0000146,CUST_08765,Personal,2026-06-28,819314.88,17.65,36,2,N,N
LOAN_0000147,CUST_09495,Home,2022-10-26,5411896.0,7.82,180,3,N,N
LOAN_0000148,CUST_06454,Personal,2021-12-26,546320.7,14.29,48,0,N,N
LOAN_0000149,CUST_00714,Auto,2025-11-04,2352807.36,10.67,48,4,N,N
LOAN_0000150,CUST_04518,Personal,2026-03-01,1281057.45,17.62,48,2,N,N
LOAN_0000151,CUST_04489,Education,2023-08-28,1853978.2,8.19,84,16,N,N
LOAN_0000152,CUST_04223,Home,2024-12-17,6121156.12,8.2,300,7,N,N
LOAN_0000153,CUST_08923,Education,2023-06-07,726470.22,10.99,84,5,N,N
LOAN_0000154,CUST_09694,Home,2024-10-24,8409330.27,10.3,180,6,N,N
LOAN_0000155,CUST_02970,Home,2022-11-25,7847921.97,9.02,120,1,N,N
LOAN_0000156,CUST_07831,Home,2024-01-21,3498470.47,9.59,120,8,N,N
LOAN_0000157,CUST_07304,Personal,2021-05-07,975486.3,12.81,48,5,N,N
LOAN_0000158,CUST_03483,Home,2023-04-06,6008305.3,8.51,300,1,N,N
LOAN_0000159,CUST_10059,Personal,2026-03-11,1275557.8,12.04,24,2,N,N
LOAN_0000160,CUST_03824,Personal,2026-06-15,414100.4,13.0,36,1,N,N
LOAN_0000161,CUST_08956,Education,2022-09-03,402600.11,11.16,84,0,N,N
LOAN_0000162,CUST_03393,Auto,2025-08-11,1078194.53,9.03,72,0,N,N
LOAN_0000163,CUST_06177,Home,2024-12-28,9903427.18,10.33,180,7,N,N
LOAN_0000164,CUST_04406,Home,2024-12-07,7260691.88,7.71,240,3,N,N
LOAN_0000165,CUST_01454,Personal,2024-09-09,906775.41,15.77,24,1,N,N
LOAN_0000166,CUST_10132,Education,2026-06-27,1243438.52,10.64,84,1,N,N
LOAN_0000167,CUST_09738,Education,2024-04-19,1938664.42,11.7,120,8,N,N
LOAN_0000168,CUST_09376,Home,2022-06-05,2255139.43,10.17,300,2,N,N
LOAN_0000169,CUST_01573,Home,2023-03-30,9818553.65,8.95,240,0,N,N
LOAN_0000170,CUST_09831,Home,2025-01-06,6414403.67,8.19,240,3,N,N
LOAN_0000171,CUST_01583,Personal,2023-06-17,394422.36,10.91,36,2,N,N
LOAN_0000172,CUST_00562,Education,2021-11-27,1480521.12,10.18,120,6,N,N
LOAN_0000173,CUST_01635,Home,2022-07-18,2587779.8,9.89,240,4,N,N
LOAN_0000174,CUST_06294,Education,2022-08-28,1569200.59,11.33,84,0,N,N
LOAN_0000175,CUST_10198,Education,2025-03-11,1423911.18,10.24,84,1,N,N
LOAN_0000176,CUST_02510,Education,2026-03-11,694837.18,10.26,84,1,N,N
LOAN_0000177,CUST_03667,Personal,2026-02-24,292656.41,17.09,48,1,N,N
LOAN_0000178,CUST_09131,Home,2023-08-20,4762893.14,8.51,240,6,N,N
LOAN_0000179,CUST_09076,Auto,2022-02-12,1691642.62,11.73,36,8,N,N
LOAN_0000180,CUST_04245,Home,2025-11-27,2952707.45,10.17,240,2,N,N
LOAN_0000181,CUST_08673,Personal,2025-12-26,1129198.91,14.14,24,7,N,N
LOAN_0000182,CUST_04395,Personal,2025-12-13,106636.77,11.52,48,10,N,N
LOAN_0000183,CUST_07428,Personal,2024-03-12,1002422.84,16.27,36,15,N,N
LOAN_0000184,CUST_05938,Auto,2023-09-24,2452751.89,9.3,60,8,N,N
LOAN_0000185,CUST_09813,Auto,2024-09-05,2229777.43,10.32,60,2,N,N
LOAN_0000186,CUST_04402,Home,2024-05-28,7670251.29,7.97,180,0,N,N
LOAN_0000187,CUST_01208,Home,2024-04-09,2546768.35,8.51,300,15,N,N
LOAN_0000188,CUST_05171,Home,2022-04-21,6586800.33,7.73,180,6,N,N
LOAN_0000189,CUST_09561,Personal,2024-07-17,1467059.61,16.37,60,1,N,N
LOAN_0000190,CUST_02586,Auto,2026-01-22,2377927.85,9.22,48,0,N,N
LOAN_0000191,CUST_04924,Home,2021-05-13,8903748.73,7.94,300,2,N,N
LOAN_0000192,CUST_02755,Home,2021-08-11,9480031.79,9.2,180,0,N,N
LOAN_0000193,CUST_03719,Home,2024-09-15,3755235.78,8.66,180,14,N,N
LOAN_0000194,CUST_09429,Personal,2021-01-27,1360747.99,13.49,24,21,N,N
LOAN_0000195,CUST_08587,Home,2026-04-06,8421162.11,10.35,300,16,N,N
LOAN_0000196,CUST_04503,Auto,2025-12-17,2354544.66,9.96,36,1,N,N
LOAN_0000197,CUST_05536,Home,2026-06-24,2981121.79,8.66,240,5,N,N
LOAN_0000198,CUST_03462,Personal,2023-08-15,981549.03,16.12,48,7,N,N
LOAN_0000199,CUST_05299,Personal,2026-03-28,760133.17,12.49,24,31,N,N
LOAN_0000200,CUST_02349,Education,2022-02-07,414708.19,9.9,60,6,N,N
LOAN_0000201,CUST_05364,Home,2024-01-05,3133912.73,10.35,180,2,N,N
LOAN_0000202,CUST_09150,Personal,2022-08-26,605089.69,15.82,24,1,N,N
LOAN_0000203,CUST_00250,Personal,2022-06-14,936791.5,13.83,36,3,N,N
LOAN_0000204,CUST_06731,Personal,2025-04-06,1406155.22,11.03,24,15,N,N
LOAN_0000205,CUST_09424,Personal,2021-10-14,743727.99,10.94,60,3,N,N
LOAN_0000206,CUST_03036,Auto,2025-05-20,536907.18,11.51,60,10,N,N
LOAN_0000207,CUST_01573,Education,2023-06-24,1846710.87,8.57,120,5,N,N
LOAN_0000208,CUST_08005,Home,2021-02-20,6527169.34,8.26,120,1,N,N
LOAN_0000209,CUST_08366,Home,2021-08-16,5460325.82,7.67,240,0,N,N
LOAN_0000210,CUST_08955,Auto,2021-11-04,2470129.55,10.8,48,0,N,N
LOAN_0000211,CUST_00896,Home,2025-10-09,9558026.1,9.54,120,9,N,N
LOAN_0000212,CUST_06543,Home,2023-11-25,3941392.78,7.1,240,0,N,N
LOAN_0000213,CUST_07071,Personal,2021-06-22,788501.52,13.01,60,1,N,N
LOAN_0000214,CUST_08399,Personal,2024-01-17,1017459.03,12.63,36,8,N,N
LOAN_0000215,CUST_08197,Personal,2025-03-14,670787.89,13.45,60,4,N,N
LOAN_0000216,CUST_07096,Auto,2022-06-28,2209069.41,9.24,72,2,N,N
LOAN_0000217,CUST_07001,Personal,2021-02-14,1035808.08,14.6,60,11,N,N
LOAN_0000218,CUST_00163,Personal,2025-11-29,1186553.59,15.69,24,20,N,N
LOAN_0000219,CUST_01584,Home,2021-09-09,7539812.83,7.93,180,7,N,N
LOAN_0000220,CUST_02774,Personal,2024-04-19,1000764.87,16.13,60,12,N,N
LOAN_0000221,CUST_02874,Personal,2022-01-22,485073.59,10.58,36,1,N,N
LOAN_0000222,CUST_05450,Personal,2023-06-22,1224774.36,15.08,60,14,N,N
LOAN_0000223,CUST_05394,Auto,2023-03-21,1740897.29,9.85,48,7,N,N
LOAN_0000224,CUST_04841,Personal,2026-03-28,1206932.65,14.39,24,19,N,N
LOAN_0000225,CUST_02490,Home,2022-09-15,7955597.98,10.14,300,17,N,N
LOAN_0000226,CUST_09566,Auto,2022-04-29,996867.6,11.09,60,10,N,N
LOAN_0000227,CUST_05207,Education,2025-09-14,233128.55,10.2,60,19,N,N
LOAN_0000228,CUST_04733,Auto,2024-11-25,1253801.47,12.09,60,0,N,N
LOAN_0000229,CUST_07379,Personal,2022-08-19,908434.2,13.72,36,0,N,N
LOAN_0000230,CUST_08841,Home,2021-06-12,7146805.98,9.69,120,3,N,N
LOAN_0000231,CUST_00366,Education,2023-08-01,287413.07,9.26,120,0,N,N
LOAN_0000232,CUST_02749,Personal,2026-06-21,121195.95,16.7,48,2,N,N
LOAN_0000233,CUST_08139,Home,2023-02-20,4610116.43,8.12,300,20,N,N
LOAN_0000234,CUST_03828,Personal,2025-10-28,1066557.67,13.82,48,1,N,N
LOAN_0000235,CUST_05684,Auto,2025-01-25,1740899.11,10.68,48,2,N,N
LOAN_0000236,CUST_08811,Auto,2024-06-21,447942.66,11.08,72,9,N,N
LOAN_0000237,CUST_05779,Personal,2024-07-14,526716.4,11.22,48,7,N,N
LOAN_0000238,CUST_00338,Personal,2023-08-05,1345030.04,15.95,24,10,N,N
LOAN_0000239,CUST_01879,Personal,2021-11-17,788704.16,14.73,48,19,N,N
LOAN_0000240,CUST_06028,Auto,2025-10-31,1339457.34,10.11,72,0,N,N
LOAN_0000241,CUST_05767,Home,2022-08-16,3177480.38,9.21,240,13,N,N
LOAN_0000242,CUST_00874,Auto,2025-09-05,1688129.34,11.36,72,1,N,N
LOAN_0000243,CUST_00415,Home,2021-01-16,2689804.72,9.13,240,2,N,N
LOAN_0000244,CUST_06168,Home,2023-09-13,2763810.02,10.23,240,4,N,N
LOAN_0000245,CUST_03798,Education,2025-04-28,407727.54,11.21,84,5,N,N
LOAN_0000246,CUST_08510,Home,2021-08-31,4817235.01,7.67,240,3,N,N
LOAN_0000247,CUST_06600,Auto,2022-11-27,1445169.87,12.51,60,11,N,N
LOAN_0000248,CUST_00769,Auto,2023-10-21,1879200.58,11.3,36,16,N,N
LOAN_0000249,CUST_04678,Home,2021-06-08,3820858.38,9.43,240,0,N,N
LOAN_0000250,CUST_01878,Personal,2022-08-20,643657.26,14.39,36,0,N,N
LOAN_0000251,CUST_00245,Education,2025-05-29,993052.55,11.17,120,0,N,N
LOAN_0000252,CUST_01306,Auto,2024-01-08,1083500.01,12.44,60,6,N,N
LOAN_0000253,CUST_04857,Home,2023-04-25,2999197.79,8.57,300,3,N,N
LOAN_0000254,CUST_09331,Personal,2024-02-26,1268455.1,17.86,36,4,N,N
LOAN_0000255,CUST_01304,Home,2021-07-21,6985298.28,10.03,180,0,N,N
LOAN_0000256,CUST_09418,Home,2025-08-02,4542644.24,7.79,240,1,N,N
LOAN_0000257,CUST_04828,Auto,2024-04-06,1484217.28,9.76,48,12,N,N
LOAN_0000258,CUST_09829,Personal,2025-09-27,285834.97,16.32,48,0,N,N
LOAN_0000259,CUST_05340,Personal,2023-12-21,892767.56,17.59,48,75,N,N
LOAN_0000260,CUST_09999,Personal,2021-09-25,308387.91,14.21,24,3,N,N
LOAN_0000261,CUST_07348,Auto,2023-09-12,1924104.36,12.58,60,13,N,N
LOAN_0000262,CUST_03182,Education,2026-04-03,1019678.6,9.57,120,0,N,N
LOAN_0000263,CUST_02932,Personal,2025-05-05,961437.33,12.94,48,0,N,N
LOAN_0000264,CUST_03448,Education,2023-10-30,1296650.31,12.08,84,3,N,N
LOAN_0000265,CUST_06640,Personal,2026-03-19,876045.55,12.87,48,5,N,N
LOAN_0000266,CUST_00466,Personal,2023-01-17,619926.01,12.06,24,16,N,N
LOAN_0000267,CUST_03017,Personal,2023-03-28,956471.1,13.29,36,5,N,N
LOAN_0000268,CUST_01826,Home,2021-03-13,7101520.07,8.75,300,10,N,N
LOAN_0000269,CUST_08657,Auto,2025-08-07,2390641.21,10.93,36,2,N,N
LOAN_0000270,CUST_00756,Personal,2025-02-14,1353570.43,15.96,48,2,N,N
LOAN_0000271,CUST_04373,Education,2024-12-27,1483675.96,8.44,84,12,N,N
LOAN_0000272,CUST_06463,Auto,2026-05-03,1710008.07,9.62,72,1,N,N
LOAN_0000273,CUST_02138,Personal,2026-02-20,1444705.42,16.41,36,15,N,N
LOAN_0000274,CUST_08398,Auto,2023-06-07,482625.88,11.63,48,0,N,N
LOAN_0000275,CUST_06286,Personal,2021-07-26,1348519.25,15.13,36,32,N,N
LOAN_0000276,CUST_06756,Home,2021-08-28,6281084.02,9.05,300,5,N,N
LOAN_0000277,CUST_03915,Personal,2023-09-28,1125929.14,10.97,60,0,N,N
LOAN_0000278,CUST_03564,Home,2024-08-13,9587141.26,9.69,120,8,N,N
LOAN_0000279,CUST_09226,Personal,2023-02-10,651539.84,15.43,24,2,N,N
LOAN_0000280,CUST_06587,Auto,2026-04-15,1725037.67,8.68,72,14,N,N
LOAN_0000281,CUST_02196,Home,2022-06-16,8821313.7,10.04,300,0,N,N
LOAN_0000282,CUST_08285,Auto,2025-01-06,1977148.88,9.99,60,1,N,N
LOAN_0000283,CUST_02592,Personal,2023-06-21,179196.57,17.12,24,2,N,N
LOAN_0000284,CUST_07378,Home,2025-09-06,5720069.04,10.26,300,120,Y,Y
LOAN_0000285,CUST_06630,Home,2026-04-21,6508071.95,7.77,120,2,N,N
LOAN_0000286,CUST_02030,Auto,2022-05-01,995830.77,11.66,36,0,N,N
LOAN_0000287,CUST_02303,Auto,2023-10-05,1263846.56,9.76,72,3,N,N
LOAN_0000288,CUST_01179,Personal,2022-08-18,614977.99,11.09,24,16,N,N
LOAN_0000289,CUST_02629,Education,2025-06-06,1752982.91,11.23,84,18,N,N
LOAN_0000290,CUST_09264,Home,2021-12-13,4152304.35,8.12,240,9,N,N
LOAN_0000291,CUST_00394,Auto,2022-04-14,1639535.28,9.93,72,11,N,N
LOAN_0000292,CUST_07767,Personal,2023-06-18,304518.53,10.55,24,4,N,N
LOAN_0000293,CUST_09101,Personal,2021-01-04,821690.2,17.19,48,3,N,N
LOAN_0000294,CUST_04401,Personal,2021-09-15,611051.76,12.26,36,3,N,N
LOAN_0000295,CUST_02250,Personal,2025-09-21,226742.17,11.46,36,0,N,N
LOAN_0000296,CUST_09959,Home,2022-03-25,2853253.31,7.27,120,5,N,N
LOAN_0000297,CUST_00019,Personal,2022-10-08,180383.58,17.14,48,1,N,N
LOAN_0000298,CUST_07127,Home,2026-06-22,2607310.91,7.24,300,6,N,N
LOAN_0000299,CUST_02367,Auto,2026-01-09,1030517.09,10.34,36,7,N,N
LOAN_0000300,CUST_06421,Home,2023-11-22,3489370.44,10.32,180,14,N,N
LOAN_0000301,CUST_09815,Education,2024-12-18,1393209.39,12.42,84,3,N,N
LOAN_0000302,CUST_06716,Home,2024-07-22,4657355.96,9.02,300,10,N,N
LOAN_0000303,CUST_01498,Home,2024-10-27,5209081.05,7.78,240,6,N,N
LOAN_0000304,CUST_00136,Home,2024-04-05,5266756.57,9.71,300,1,N,N
LOAN_0000305,CUST_02165,Home,2024-12-07,4319122.52,8.88,300,0,N,N
LOAN_0000306,CUST_02256,Personal,2026-07-05,189373.68,12.75,60,17,N,N
LOAN_0000307,CUST_03687,Personal,2022-05-11,1261519.71,12.36,60,3,N,N
LOAN_0000308,CUST_03943,Personal,2024-06-19,291248.42,14.2,24,2,N,N
LOAN_0000309,CUST_02525,Education,2026-02-27,924546.52,9.19,60,3,N,N
LOAN_0000310,CUST_03873,Auto,2023-07-18,844478.97,11.13,48,2,N,N
LOAN_0000311,CUST_04719,Home,2024-03-09,9578802.5,10.08,180,3,N,N
LOAN_0000312,CUST_06349,Education,2024-09-18,1052600.47,10.68,120,9,N,N
LOAN_0000313,CUST_06363,Auto,2026-06-04,704724.46,9.1,60,0,N,N
