Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Branch_ID,Relationship_Manager,Account_Type_raw
ACC_000029,CUST_00029,Salary,2022-12-05,139175.05,BR043,RM_072,Salary
ACC_000030,CUST_00030,Salary,2025-08-31,121248.17,BR032,RM_014,Salary
ACC_000031,CUST_00031,Savings,2022-11-20,22692.41,BR022,RM_057,Savings
ACC_000032,CUST_00032,Savings,2022-03-10,31460.38,BR022,RM_059,Savings
ACC_000033,CUST_00033,Savings,2023-10-26,2724.9,BR039,RM_043,Savings
ACC_000034,CUST_00034,Savings,2021-02-23,99942.12,BR024,RM_040,Savings
ACC_000035,CUST_00035,Savings,2025-04-24,-1232.32,BR025,RM_086,Savings
ACC_000036,CUST_00036,Savings,2022-07-23,2857.49,BR027,RM_078,Savings
ACC_000037,CUST_00037,Savings,2022-02-07,8728.35,BR027,RM_039,Savings
ACC_000038,CUST_00038,Salary,2023-12-08,13732.61,BR010,RM_034,Salary
ACC_000039,CUST_00039,Savings,2021-07-07,120549.89,BR036,RM_081,Savings
ACC_000040,CUST_00040,Savings,2026-05-09,128577.01,BR016,RM_007,Savings
ACC_000041,CUST_00041,Savings,2021-05-06,-1756.21,BR014,RM_091,Savings
ACC_000042,CUST_00042,Savings,2025-04-14,3872.47,BR049,RM_088,Savings
ACC_000043,CUST_00043,Savings,2025-04-27,170363.93,BR034,RM_034,Savings
ACC_000044,CUST_00044,Salary,2023-03-09,17971.09,BR020,RM_079,Salary
ACC_000045,CUST_00045,Savings,2022-02-28,57853.66,BR039,RM_036,Savings
ACC_000046,CUST_00046,Savings,2023-05-10,102984.1,BR044,RM_024,Savings
ACC_000047,CUST_00047,Current,2026-03-12,27568.93,BR050,RM_096,Current
ACC_000048,CUST_00048,Savings,2022-05-25,11912.39,BR039,RM_074,Savings
ACC_000049,CUST_00049,Savings,2023-03-19,15933.5,BR025,RM_087,Savings
ACC_000050,CUST_00050,Savings,2022-04-13,12388.25,BR042,RM_086,Savings
ACC_000051,CUST_00051,Savings,2024-04-01,9151.7,BR040,RM_054,Savings
ACC_000052,CUST_00052,Savings,2022-12-21,2492.53,BR028,RM_013,Savings
ACC_000053,CUST_00053,Savings,2026-06-17,9888.11,BR048,RM_069,Savings
ACC_000054,CUST_00054,Savings,2022-12-11,12534.47,BR030,RM_011,Savings
ACC_000055,CUST_00055,Salary,2025-01-07,65744.31,BR043,RM_099,Salary
ACC_000056,CUST_00056,Savings,2022-10-26,10285.55,BR025,RM_027,Savings
ACC_000057,CUST_00057,Savings,2025-07-20,30597.35,BR033,RM_034,Savings
ACC_000058,CUST_00058,Current,2023-12-26,4401.42,BR016,RM_016,Current
ACC_000059,CUST_00059,Savings,2022-10-15,52118.45,BR042,RM_096,Savings
ACC_000060,CUST_00060,Savings,2025-12-07,50087.27,BR005,RM_082,Savings
ACC_000061,CUST_00061,Savings,2025-03-30,37383.71,BR021,RM_099,Savings
ACC_000062,CUST_00062,Savings,2021-12-14,4840.85,BR028,RM_098,Savings
ACC_000063,CUST_00063,Savings,2022-04-11,170937.89,BR012,RM_046,Savings
ACC_000064,CUST_00064,Salary,2024-11-04,4713.11,BR029,RM_032,Salary
ACC_000065,CUST_00065,Salary,2026-05-27,10650.35,BR044,RM_077,Salary
ACC_000066,CUST_00066,Savings,2023-04-20,7675.88,BR008,RM_062,Savings
ACC_000067,CUST_00067,Savings,2021-03-16,425599.76,BR009,RM_054,Savings
ACC_000068,CUST_00068,Savings,2026-05-05,172235.86,BR039,RM_026,Savings
ACC_000069,CUST_00069,Savings,2024-10-23,13327.6,BR046,RM_038,Savings
ACC_000070,CUST_00070,Current,2024-12-11,109010.6,BR005,RM_060,Current
ACC_000071,CUST_00071,Salary,2025-09-30,5753.36,BR044,RM_010,Salary
ACC_000072,CUST_00072,Savings,2024-12-03,16838.56,BR033,RM_050,Savings
ACC_000073,CUST_00073,Savings,2023-12-06,56428.33,BR043,RM_017,Savings
ACC_000074,CUST_00074,Savings,2021-09-06,31991.9,BR027,RM_062,Savings
ACC_000075,CUST_00075,Savings,2022-07-23,8976.26,BR017,RM_051,Savings
ACC_000076,CUST_00076,Salary,2022-02-28,15393.3,BR031,RM_079,Salary
ACC_000077,CUST_00077,Savings,2023-07-13,20434.83,BR036,RM_048,Savings
ACC_000078,CUST_00078,Savings,2024-12-18,9980.63,BR010,RM_061,Savings
ACC_000079,CUST_00079,Savings,2026-07-11,27695.77,BR040,RM_050,Savings
ACC_000080,CUST_00080,Savings,2024-08-04,6092.13,BR049,RM_007,Savings
ACC_000081,CUST_00081,Savings,2026-08-01,1496765.48,BR022,RM_099,Savings
ACC_000082,CUST_00082,Savings,2026-06-21,3834.79,BR029,RM_082,Savings
ACC_000083,CUST_00083,Savings,2024-09-12,235971.6,BR017,RM_026,Savings
ACC_000084,CUST_00084,Savings,2024-08-02,349.5,BR017,RM_017,Savings
ACC_000085,CUST_00085,Savings,2022-02-25,21403.15,BR011,RM_050,Savings
ACC_000086,CUST_00086,Salary,2023-08-17,210548.12,BR013,RM_012,Salary
ACC_000087,CUST_00087,Current,2022-01-03,49872.0,BR046,RM_099,Current
ACC_000088,CUST_00088,Savings,2023-07-30,78036.45,BR028,RM_064,Savings
ACC_000089,CUST_00089,Savings,2023-03-26,26739.77,BR017,RM_037,Savings
ACC_000090,CUST_00090,Savings,2021-12-24,261270.73,BR043,RM_069,Savings
ACC_000091,CUST_00091,Savings,2024-05-20,216111.6,BR038,RM_027,Savings
ACC_000092,CUST_00092,Savings,2025-12-13,184836.83,BR011,RM_015,Savings
ACC_000093,CUST_00093,Salary,2021-10-16,4667.91,BR007,RM_053,Salary
ACC_000094,CUST_00094,Savings,2027-05-06,4827.0,BR027,RM_081,Savings
ACC_000095,CUST_00095,Savings,2022-11-22,205791.48,BR029,RM_067,Savings
ACC_000096,CUST_00096,Savings,2021-06-20,1888.43,BR043,RM_036,Savings
ACC_000097,CUST_00097,Savings,2024-06-19,58537.28,BR033,RM_064,Savings
ACC_000098,CUST_00098,Savings,2025-12-28,-3408.75,BR036,RM_075,Savings
ACC_000099,CUST_00099,Savings,2021-02-02,1279.85,BR042,RM_016,Savings
ACC_000100,CUST_00100,Current,2023-01-01,21664.82,BR028,RM_078,Current
ACC_000101,CUST_00101,Salary,2025-02-09,2758.94,BR022,RM_057,Salary
ACC_000102,CUST_00102,Salary,2021-08-19,1107230.04,BR005,RM_056,Salary
ACC_000103,CUST_00103,Savings,2026-06-01,12504.16,BR014,RM_023,Savings
ACC_000104,CUST_00104,Savings,2021-04-03,23706.86,BR025,RM_021,Savings
ACC_000105,CUST_00105,Savings,2024-06-15,5111.04,BR038,RM_065,Savings
ACC_000106,CUST_00106,Savings,2021-05-17,4233.47,BR020,RM_017,Savings
ACC_000107,CUST_00107,Savings,2024-12-25,289500.14,BR025,RM_019,Savings
ACC_000108,CUST_00108,Savings,2025-08-18,25453.38,BR005,RM_042,Savings
ACC_000109,CUST_00109,Savings,2021-01-24,7873.78,BR044,RM_099,Savings
ACC_000110,CUST_00110,Current,2022-03-29,7725.1,BR046,RM_088,Current
ACC_000111,CUST_00111,Savings,2024-03-11,15116.37,BR009,RM_041,Savings
ACC_000112,CUST_00112,Salary,2021-02-14,7289.14,BR036,RM_009,Salary
ACC_000113,CUST_00113,Savings,2026-04-08,50120.95,BR041,RM_004,Savings
ACC_000114,CUST_00114,Savings,2025-07-01,17742.84,BR046,RM_011,Savings
ACC_000115,CUST_00115,Current,2022-10-07,15590.01,BR030,RM_010,Current
ACC_000116,CUST_00116,Savings,2024-11-02,88236.74,BR024,RM_027,Savings
ACC_000117,CUST_00117,Current,2025-05-16,222396.82,BR014,RM_062,Current
ACC_000118,CUST_00118,Savings,2022-11-02,62714.42,BR025,RM_029,Savings
ACC_000119,CUST_00119,Savings,2024-10-14,25668.01,BR028,RM_049,Savings
ACC_000120,CUST_00120,Savings,2023-01-11,1246.86,BR036,RM_001,Savings
ACC_000121,CUST_00121,Savings,2022-04-06,46232.12,BR008,RM_036,Savings
ACC_000122,CUST_00122,Savings,2024-01-15,28766.11,BR036,RM_008,Savings
ACC_000123,CUST_00123,Current,2024-09-25,24437.14,BR043,RM_013,Current
ACC_000124,CUST_00124,Savings,2021-02-13,3126.7,BR020,RM_023,Savings
ACC_000125,CUST_00125,Current,2021-11-25,6059.25,BR003,RM_004,Current
ACC_000126,CUST_00126,Current,2024-05-25,13343.18,BR028,RM_010,Current
ACC_000127,CUST_00127,Salary,2024-02-06,780215.95,BR040,RM_075,Salary
ACC_000128,CUST_00128,Savings,2025-03-20,21083.4,BR013,RM_013,Savings
ACC_000129,CUST_00129,Current,2022-01-17,11797.44,BR017,RM_089,Current
ACC_000130,CUST_00130,Savings,2021-07-16,64337.29,BR040,RM_074,Savings
ACC_000131,CUST_00131,Current,2021-01-11,2821.17,BR034,RM_059,Current
ACC_000132,CUST_00132,Current,2025-07-11,8893.0,BR031,RM_014,Current
ACC_000133,CUST_00133,Salary,2026-03-22,16793.38,BR001,RM_010,Salary
ACC_000134,CUST_00134,Savings,2023-02-09,223802.61,BR042,RM_096,Savings
ACC_000135,CUST_00135,Savings,2022-11-21,6812.56,BR028,RM_038,Savings
ACC_000136,CUST_00136,Savings,2025-07-30,22384.87,BR043,RM_018,Savings
ACC_000137,CUST_00137,Savings,2026-01-09,895298.78,BR034,RM_058,Savings
ACC_000138,CUST_00138,Savings,2023-01-28,21852.11,BR017,RM_082,Savings
ACC_000139,CUST_00139,Savings,2021-05-08,27151.05,BR021,RM_022,Savings
ACC_000140,CUST_00140,Savings,2023-11-25,5167.93,BR012,RM_072,Savings
ACC_000141,CUST_00141,Savings,2022-11-08,3460.61,BR042,RM_047,Savings
ACC_000142,CUST_00142,Savings,2023-11-24,6663.92,BR032,RM_039,Savings
ACC_000143,CUST_00143,Savings,2026-06-01,8065.43,BR039,RM_065,Savings
ACC_000144,CUST_00144,Savings,2024-11-26,27598.39,BR005,RM_092,Savings
ACC_000145,CUST_00145,Salary,2021-06-09,11287.37,BR037,RM_073,Salary
ACC_000146,CUST_00146,Savings,2022-10-05,20281.43,BR032,RM_092,Savings
ACC_000147,CUST_00147,Savings,2024-02-24,371086.86,BR001,RM_040,Savings
ACC_000148,CUST_00148,Savings,2024-10-05,39580.8,BR016,RM_072,Savings
ACC_000149,CUST_00149,Savings,2021-04-01,-1243.23,BR048,RM_030,Savings
ACC_000150,CUST_00150,Savings,2023-06-05,7713.74,BR041,RM_064,Savings
ACC_000151,CUST_00151,Current,2025-04-16,24579.23,BR014,RM_100,Current
ACC_000152,CUST_00152,Current,2024-06-02,24722.55,BR001,RM_069,Current
ACC_000153,CUST_00153,Savings,2021-08-02,37946.51,BR026,RM_003,Savings
ACC_000154,CUST_00154,Current,2024-12-15,29032.31,BR046,RM_015,Current
ACC_000155,CUST_00155,Savings,2021-10-10,32643.74,BR025,RM_062,Savings
ACC_000156,CUST_00156,Current,2023-10-31,3144.33,BR046,RM_001,Current
ACC_000157,CUST_00157,Savings,2024-04-16,29467.79,BR009,RM_032,Savings
ACC_000158,CUST_00158,Savings,2025-03-03,7809.48,BR030,RM_038,Savings
ACC_000159,CUST_00159,Salary,2025-01-22,30090.55,BR037,RM_065,Salary
ACC_000160,CUST_00160,Savings,2026-03-29,45123.51,BR043,RM_060,Savings
ACC_000161,CUST_00161,Savings,2023-01-16,19586.03,BR037,RM_020,Savings
ACC_000162,CUST_00162,Salary,2026-03-26,13861.64,BR007,RM_047,Salary
ACC_000163,CUST_00163,Savings,2025-02-28,10268.88,BR037,RM_095,Savings
ACC_000164,CUST_00164,Savings,2024-09-30,27565.04,BR031,RM_094,Savings
ACC_000165,CUST_00165,Savings,2025-10-25,6125.9,BR035,RM_044,Savings
ACC_000166,CUST_00166,Savings,2022-03-17,6831.41,BR026,RM_077,Savings
ACC_000167,CUST_00167,Salary,2022-09-12,17519.31,BR015,RM_097,Salary
ACC_000168,CUST_00168,Savings,2023-04-11,22400.76,BR002,RM_029,Savings
ACC_000169,CUST_00169,Savings,2021-05-17,26562.62,BR045,RM_026,Savings
ACC_000170,CUST_00170,Savings,2024-10-30,31451.35,BR021,RM_052,Savings
ACC_000171,CUST_00171,Salary,2022-09-05,417552.0,BR050,RM_072,Salary
ACC_000172,CUST_00172,Savings,2021-01-11,22270.57,BR013,RM_068,Savings
ACC_000173,CUST_00173,Savings,2023-12-08,9462.2,BR008,RM_033,Savings
ACC_000174,CUST_00174,Salary,2024-04-10,18419.5,BR036,RM_079,Salary
ACC_000175,CUST_00175,Savings,2023-01-02,95836.18,BR003,RM_057,Savings
ACC_000176,CUST_00176,Salary,2026-02-17,7114.71,BR027,RM_080,Salary
ACC_000177,CUST_00177,Savings,2022-07-29,7191.82,BR046,RM_004,Savings
ACC_000178,CUST_00178,Savings,2024-09-08,13387.48,BR016,RM_002,Savings
ACC_000179,CUST_00179,Salary,2023-04-18,25147.43,BR037,RM_092,Salary
ACC_000180,CUST_00180,Salary,2024-05-28,202186.56,BR034,RM_061,Salary
ACC_000181,CUST_00181,Savings,2023-04-23,2304810.38,BR011,RM_080,Savings
ACC_000182,CUST_00182,Savings,2024-01-13,3922.84,BR045,RM_069,Savings
ACC_000183,CUST_00183,Current,2022-06-26,71280.32,BR026,RM_040,Current
ACC_000184,CUST_00184,Savings,2025-06-18,33202.81,BR002,RM_004,Savings
ACC_000185,CUST_00185,Current,2024-03-07,3803.67,BR016,RM_068,Current
ACC_000186,CUST_00186,Savings,2021-10-28,2344558.69,BR030,RM_030,Savings
ACC_000187,CUST_00187,Savings,2022-11-05,110123.47,BR047,RM_040,Savings
ACC_000188,CUST_00188,Savings,2022-07-02,27783.09,BR005,RM_095,Savings
ACC_000189,CUST_00189,Savings,2022-01-02,230991.18,BR012,RM_034,Savings
ACC_000190,CUST_00190,Salary,2024-01-02,41365.58,BR005,RM_033,Salary
ACC_000191,CUST_00191,Savings,2021-12-28,19276.9,BR009,RM_095,Savings
ACC_000192,CUST_00192,Savings,2022-06-30,133536.72,BR012,RM_039,Savings
ACC_000193,CUST_00193,Current,2022-02-08,159934.51,BR007,RM_095,Current
ACC_000194,CUST_00194,Savings,2025-06-13,87213.63,BR013,RM_017,Savings
ACC_000195,CUST_00195,Savings,2024-08-23,10914.34,BR048,RM_020,Savings
ACC_000196,CUST_00196,Current,2021-10-24,1984.9,BR030,RM_013,Current
ACC_000197,CUST_00197,Savings,2026-03-24,25083.01,BR021,RM_043,Savings
ACC_000198,CUST_00198,Savings,2021-05-24,1126688.8,BR045,RM_075,Savings
ACC_000199,CUST_00199,Savings,2026-01-11,681094.25,BR033,RM_022,Savings
ACC_000200,CUST_00200,Savings,2021-12-25,10373.91,BR007,RM_084,Savings
ACC_000201,CUST_00201,Savings,2024-04-24,27287.25,BR007,RM_055,Savings
ACC_000202,CUST_00202,Savings,2022-05-20,17915.98,BR032,RM_092,Savings
ACC_000203,CUST_00203,Savings,2024-09-07,10769.22,BR009,RM_093,Savings
ACC_000204,CUST_00204,Current,2023-10-15,20242.36,BR022,RM_004,Current
ACC_000205,CUST_00205,Savings,2023-12-11,875.07,BR033,RM_089,Savings
ACC_000206,CUST_00206,Savings,2026-05-25,1100.96,BR011,RM_059,Savings
ACC_000207,CUST_00207,Savings,2026-05-22,107904.47,BR022,RM_076,Savings
ACC_000208,CUST_00208,Savings,2021-05-06,26553.92,BR014,RM_032,Savings
ACC_000209,CUST_00209,Savings,2022-04-17,11064.24,BR013,RM_050,Savings
ACC_000210,CUST_00210,Current,2025-03-08,12255.27,BR050,RM_087,Current
ACC_000211,CUST_00211,Current,2022-08-13,4825.51,BR014,RM_054,Current
ACC_000212,CUST_00212,Savings,2021-09-04,-3904.76,BR003,RM_091,Savings
ACC_000213,CUST_00213,Savings,2023-02-15,1733.32,BR048,RM_070,Savings
ACC_000214,CUST_00214,Savings,2022-05-16,195448.68,BR018,RM_076,Savings
ACC_000215,CUST_00215,Savings,2022-04-07,14812.59,BR009,RM_060,Savings
ACC_000216,CUST_00216,Savings,2026-04-03,60664.77,BR030,RM_089,Savings
ACC_000217,CUST_00217,Current,2024-10-25,3687.92,BR015,RM_028,Current
ACC_000218,CUST_00218,Savings,2024-09-24,123827.57,BR034,RM_092,Savings
ACC_000219,CUST_00219,Salary,2025-02-20,206393.12,BR004,RM_056,Salary
ACC_000220,CUST_00220,Savings,2023-03-06,28660.51,BR021,RM_078,Savings
ACC_000221,CUST_00221,Savings,2024-02-12,208910.7,BR007,RM_058,Savings
ACC_000222,CUST_00222,Savings,2021-03-26,139731.1,BR038,RM_066,Savings
ACC_000223,CUST_00223,Salary,2025-05-29,190395.61,BR002,RM_025,Salary
ACC_000224,CUST_00224,Current,2022-01-06,49067.9,BR016,RM_091,Current
ACC_000225,CUST_00225,Salary,2021-11-20,159575.52,BR038,RM_031,Salary
ACC_000226,CUST_00226,Savings,2024-08-13,6408.3,BR035,RM_098,Savings
ACC_000227,CUST_00227,Savings,2023-01-17,145379.05,BR019,RM_097,Savings
ACC_000228,CUST_00228,Salary,2023-02-16,3509.2,BR015,RM_085,Salary
ACC_000229,CUST_00229,Savings,2026-03-05,2719.92,BR013,RM_017,Savings
ACC_000230,CUST_00230,Salary,2022-11-13,16306.31,BR042,RM_063,Salary
ACC_000231,CUST_00231,Savings,2021-06-27,7068.81,BR041,RM_055,Savings
ACC_000232,CUST_00232,Savings,2021-12-06,69597.87,BR040,RM_061,Savings
ACC_000233,CUST_00233,Savings,2023-09-07,12647.81,BR049,RM_018,Savings
ACC_000234,CUST_00234,Current,2022-10-02,15380.35,BR001,RM_061,Current
ACC_000235,CUST_00235,Savings,2023-04-25,93395.68,BR017,RM_042,Savings
ACC_000236,CUST_00236,Savings,2025-02-20,211378.46,BR006,RM_010,Savings
ACC_000237,CUST_00237,Salary,2022-08-31,80626.19,BR029,RM_014,Salary
ACC_000238,CUST_00238,Salary,2026-02-04,44888.21,BR011,RM_064,Salary
ACC_000239,CUST_00239,Savings,2024-07-31,2451.32,BR020,RM_053,Savings
ACC_000240,CUST_00240,Savings,2024-05-28,86859.99,BR049,RM_084,Savings
ACC_000241,CUST_00241,Savings,2024-01-03,234895.92,BR009,RM_034,Savings
ACC_000242,CUST_00242,Savings,2024-12-19,5085499.52,BR036,RM_032,Savings
ACC_000243,CUST_00243,Savings,2022-09-20,491951.14,BR021,RM_034,Savings
ACC_000244,CUST_00244,Salary,2023-02-18,7285.6,BR031,RM_074,Salary
ACC_000245,CUST_00245,Savings,2022-01-29,240546.54,BR006,RM_074,Savings
ACC_000246,CUST_00246,Current,2021-03-18,21904.95,BR024,RM_075,Current
ACC_000247,CUST_00247,Savings,2024-05-05,163308.44,BR025,RM_020,Savings
ACC_000248,CUST_00248,Savings,2024-04-22,4673.5,BR031,RM_016,Savings
ACC_000249,CUST_00249,Savings,2024-05-24,19757.67,BR029,RM_031,Savings
ACC_000250,CUST_00250,Savings,2024-11-17,916354.77,BR014,RM_010,Savings
ACC_000251,CUST_00251,Salary,2024-07-31,353613.35,BR020,RM_060,Salary
ACC_000252,CUST_00252,Current,2023-07-15,48087.44,BR008,RM_010,Current
ACC_000253,CUST_00253,Savings,2025-07-03,47308.02,BR031,RM_049,Savings
ACC_000254,CUST_00254,Salary,2023-09-14,99015.86,BR049,RM_051,Salary
ACC_000255,CUST_00255,Savings,2025-03-03,22332.98,BR045,RM_037,Savings
ACC_000256,CUST_00256,Savings,2022-03-27,27960.56,BR013,RM_001,Savings
ACC_000257,CUST_00257,Current,2021-12-17,14713.14,BR034,RM_076,Current
ACC_000258,CUST_00258,Savings,2026-01-07,8802.81,BR045,RM_016,Savings
ACC_000259,CUST_00259,Salary,2022-08-02,3320.04,BR014,RM_025,Salary
ACC_000260,CUST_00260,Savings,2023-05-13,105058.93,BR013,RM_087,Savings
ACC_000261,CUST_00261,Savings,2021-03-18,108916.86,BR025,RM_062,Savings
ACC_000262,CUST_00262,Current,2021-05-09,114106.5,BR036,RM_073,Current
ACC_000263,CUST_00263,Current,2021-11-05,33645.17,BR035,RM_003,Current
ACC_000264,CUST_00264,Savings,2022-10-05,27973.21,BR024,RM_058,Savings
ACC_000265,CUST_00265,Savings,2022-04-29,440944.17,BR040,RM_002,Savings
ACC_000266,CUST_00266,Current,2021-02-20,58499.79,BR041,RM_042,Current
ACC_000267,CUST_00267,Savings,2025-08-17,423315.06,BR039,RM_093,Savings
ACC_000268,CUST_00268,Savings,2023-06-23,55428.75,BR039,RM_049,Savings
ACC_000269,CUST_00269,Savings,2024-04-26,100232.23,BR012,RM_004,Savings
ACC_000270,CUST_00270,Current,2023-02-28,34488.72,BR014,RM_040,Current
ACC_000271,CUST_00271,Savings,2026-04-16,195947.95,BR023,RM_026,Savings
ACC_000272,CUST_00272,Savings,2022-11-14,83671.07,BR015,RM_054,Savings
ACC_000273,CUST_00273,Savings,2023-08-02,14529.49,BR023,RM_030,Savings
ACC_000274,CUST_00274,Savings,2022-02-18,15173.8,BR029,RM_045,Savings
ACC_000275,CUST_00275,Current,2022-01-03,30118.48,BR003,RM_011,Current
ACC_000276,CUST_00276,Savings,2024-02-09,39949.13,BR013,RM_033,Savings
ACC_000277,CUST_00277,Savings,2023-07-17,173325.57,BR045,RM_030,Savings
ACC_000278,CUST_00278,Savings,2026-01-15,85133.83,BR032,RM_091,Savings
ACC_000279,CUST_00279,Savings,2023-06-18,13935.25,BR016,RM_058,Savings
ACC_000280,CUST_00280,Savings,2023-08-15,23893.7,BR010,RM_069,Savings
ACC_000281,CUST_00281,Savings,2026-02-20,11506.11,BR037,RM_079,Savings
ACC_000282,CUST_00282,Salary,2022-06-02,5877.01,BR014,RM_083,Salary
ACC_000283,CUST_00283,Savings,2024-05-11,109803.68,BR042,RM_071,Savings
ACC_000284,CUST_00284,Savings,2021-09-11,8764.46,BR019,RM_092,Savings
ACC_000285,CUST_00285,Savings,2026-05-23,160824.87,BR014,RM_015,Savings
ACC_000286,CUST_00286,Savings,2021-09-07,47227.49,BR004,RM_060,Savings
ACC_000287,CUST_00287,Savings,2021-08-23,23499.22,BR026,RM_031,Savings
ACC_000288,CUST_00288,Savings,2022-05-12,28647.02,BR050,RM_088,Savings
ACC_000289,CUST_00289,Savings,2021-06-29,3048.38,BR041,RM_032,Savings
ACC_000290,CUST_00290,Savings,2023-04-05,35815.22,BR001,RM_044,Savings
ACC_000291,CUST_00291,Savings,2022-09-13,211897.94,BR036,RM_080,Savings
ACC_000292,CUST_00292,Current,2025-11-02,6011.43,BR005,RM_013,Current
ACC_000293,CUST_00293,Savings,2025-08-11,21148.39,BR035,RM_089,Savings
ACC_000294,CUST_00294,Savings,2023-06-25,2466.39,BR047,RM_060,Savings
ACC_000295,CUST_00295,Savings,2025-03-10,19590.08,BR022,RM_056,Savings
ACC_000296,CUST_00296,Salary,2024-10-07,170755.54,BR018,RM_043,Salary
ACC_000297,CUST_00297,Current,2023-08-18,196965.49,BR036,RM_065,Current
ACC_000298,CUST_00298,Savings,2023-08-19,53406.59,BR047,RM_085,Savings
ACC_000299,CUST_00299,Salary,2022-11-23,20296.37,BR011,RM_046,Salary
ACC_000300,CUST_00300,Savings,2022-11-26,12521.42,BR029,RM_032,Savings
ACC_000301,CUST_00301,Salary,2022-02-25,147284.11,BR035,RM_054,Salary
ACC_000302,CUST_00302,Savings,2021-09-07,33851.92,BR007,RM_091,Savings
ACC_000303,CUST_00303,Savings,2022-11-02,6746.89,BR016,RM_057,Savings
ACC_000304,CUST_00304,Salary,2023-03-22,202953.21,BR015,RM_066,Salary
ACC_000305,CUST_00305,Savings,2023-02-02,408711.21,BR041,RM_046,Savings
ACC_000306,CUST_00306,Savings,2025-04-04,48016.75,BR032,RM_086,Savings
ACC_000307,CUST_00307,Current,2021-09-07,7073.38,BR002,RM_040,Current
ACC_000308,CUST_00308,Savings,2021-12-14,155419.3,BR006,RM_040,Savings
ACC_000309,CUST_00309,Current,2023-05-02,4657.95,BR049,RM_038,Current
ACC_000310,CUST_00310,Current,2021-05-31,5787.72,BR015,RM_083,Current
ACC_000311,CUST_00311,Salary,2025-05-27,41154.3,BR015,RM_020,Salary
ACC_000312,CUST_00312,Salary,2022-02-23,47900.77,BR045,RM_023,Salary
ACC_000313,CUST_00313,Salary,2026-06-08,96952.47,BR005,RM_098,Salary
ACC_000314,CUST_00314,Savings,2021-01-05,3710.21,BR007,RM_043,Savings
ACC_000315,CUST_00315,Savings,2026-07-06,31102.42,BR011,RM_060,Savings
ACC_000316,CUST_00316,Savings,2021-07-30,17399.11,BR028,RM_066,Savings
ACC_000317,CUST_00317,Savings,2023-01-25,33422.14,BR005,RM_092,Savings
ACC_000318,CUST_00318,Savings,2026-06-16,42036.46,BR016,RM_026,Savings
ACC_000319,CUST_00319,Current,2022-08-06,254556.36,BR022,RM_028,Current
ACC_000320,CUST_00320,Savings,2023-04-17,12308.02,BR002,RM_014,Savings
ACC_000321,CUST_00321,Savings,2021-01-05,43820.83,BR038,RM_090,Savings
ACC_000322,CUST_00322,Current,2022-05-09,160816.74,BR002,RM_091,Current
ACC_000323,CUST_00323,Savings,2021-07-31,72338.11,BR020,RM_050,Savings
ACC_000324,CUST_00324,Salary,2023-07-31,16498.39,BR026,RM_051,Salary
ACC_000325,CUST_00325,Savings,2026-04-19,10906.98,BR017,RM_071,Savings
